Позиция;#;Гонщик;None;Машина;Время;км/ч
1;1;Джейми Уинкап;None;Holden Commodore ZB;1'50.1371;161.798
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'50.2943;161.567
3;23;Майкл Карузо;None;Nissan Altima;1'50.6964;160.980
4;15;Рик Келли;None;Nissan Altima;1'50.7826;160.855
5;17;Скотт Маклафлин;None;Ford Falcon FG X;1'50.8069;160.820
6;5;Марк Винтерботтом;None;Ford Falcon FG X;1'50.9940;160.549
7;55;Час Мостер;None;Ford Falcon FG X;1'51.0414;160.480
8;6;Кэмерон Уотерс;None;Ford Falcon FG X;1'51.2175;160.226
9;14;Тим Слейд;None;Holden Commodore ZB;1'51.2219;160.220
10;33;Гарт Тандер;None;Holden Commodore ZB;1'51.2454;160.186
11;230;Уилл Дэвисон;None;Ford Falcon FG X;1'51.3326;160.060
12;8;Ник Перкат;None;Holden Commodore ZB;1'51.4100;159.949
13;21;Тим Бланкард;None;Holden Commodore ZB;1'51.4329;159.916
14;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;1'51.4775;159.852
15;19;Джек ЛеБрок;None;Holden Commodore ZB;1'51.4849;159.842
16;34;Джеймс Голдинг;None;Holden Commodore ZB;1'51.5193;159.792
17;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'51.5601;159.734
18;7;Андре Хаймгартнер;None;Nissan Altima;1'51.5823;159.702
19;4;Маколи Джонс;None;Holden Commodore ZB;1'51.5901;159.691
20;99;Антон де Паскуале;None;Holden Commodore ZB;1'51.6773;159.566
21;78;Симона де Сильвестро;None;Nissan Altima;1'51.8424;159.331
22;12;Фабиан Култхард;None;Ford Falcon FG X;1'51.8455;159.326
23;2;Скотт Пай;None;Holden Commodore ZB;1'51.8571;159.310
24;25;Джеймс Кортни;None;Holden Commodore ZB;1'51.9839;159.130
25;888;Крэг Лаундес;None;Holden Commodore ZB;1'52.1635;158.875
26;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'52.1902;158.837
27;42;Курт Костеки;None;Holden Commodore ZB;1'53.9438;156.392
28;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'54.2403;155.986
