Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;2'27.6476;151.487
2;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;2'28.0483;151.077
3;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;2'29.7038;149.407
4;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;2'29.6973;149.413
5;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;2'29.1879;149.923
6;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;2'29.2431;149.868
7;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;2'29.8288;149.282
8;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;2'29.4619;149.648
9;14;Тим Слейд;None;Holden Commodore ZB;2'29.3889;149.721
10;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;2'29.8025;149.308
11;15;Рик Келли Дейл Вуд;None;Nissan Altima;2'29.8573;149.253
12;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;2'29.9047;149.206
13;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;2'30.1249;148.987
14;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;2'30.1690;148.944
15;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;2'30.2670;148.847
16;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;2'30.2983;148.816
17;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;2'30.5723;148.545
18;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;2'30.6557;148.463
19;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;2'30.7457;148.374
20;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;2'30.7642;148.356
21;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;2'30.9051;148.217
22;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;2'31.1510;147.976
23;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;2'31.2474;147.882
24;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;2'31.5757;147.561
25;27;Александр Росси Джеймс Хинчклифф;None;Holden Commodore ZB;2'31.6046;147.533
26;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;2'33.8786;145.353
