Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;19;2'04.6744;None;None;179.401
2;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;20;2'04.8648;0.1904;0.1904;179.128
3;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;17;2'05.0634;0.3890;0.1986;178.843
4;55;Час Мостер Джеймс Моффат;None;Ford Mustang GT;19;2'05.0944;0.4200;0.0310;178.799
5;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;16;2'05.1577;0.4833;0.0633;178.708
6;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;15;2'05.2012;0.5268;0.0435;178.646
7;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;20;2'05.2210;0.5466;0.0198;178.618
8;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;20;2'05.3329;0.6585;0.1119;178.459
9;15;Рик Келли Дейл Вуд;None;Nissan Altima;16;2'05.4111;0.7367;0.0782;178.347
10;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;18;2'05.4728;0.7984;0.0617;178.260
11;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;18;2'05.7383;1.0639;0.2655;177.883
12;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;17;2'05.8082;1.1338;0.0699;177.784
13;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;20;2'05.8094;1.1350;0.0012;177.783
14;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;18;2'05.8689;1.1945;0.0595;177.699
15;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;20;2'05.9786;1.3042;0.1097;177.544
16;14;Тим Слейд;None;Holden Commodore ZB;17;2'06.0682;1.3938;0.0896;177.418
17;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;21;2'06.0912;1.4168;0.0230;177.385
18;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;19;2'06.2302;1.5558;0.1390;177.190
19;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;19;2'06.2446;1.5702;0.0144;177.170
20;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;20;2'06.3389;1.6645;0.0943;177.038
21;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;19;2'06.7077;2.0333;0.3688;176.522
22;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;23;2'06.9316;2.2572;0.2239;176.211
23;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;16;2'07.5973;2.9229;0.6657;175.292
24;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;7;2'07.6944;3.0200;0.0971;175.158
25;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;20;2'08.0005;3.3261;0.3061;174.739
26;27;Александр Росси Джеймс Хинчклифф;None;Holden Commodore ZB;23;2'09.2496;4.5752;1.2491;173.051
