Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Mustang GT;27;47'44.6907;None;None;None;150
2;None;12;Фабиан Култхард;None;Ford Mustang GT;27;47'45.9301;1.2394;1.2394;None;138
3;None;7;Андре Хаймгартнер;None;Nissan Altima L33;27;47'47.5363;2.8456;1.6062;None;129
4;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;27;47'49.0174;4.3267;1.4811;None;120
5;None;55;Час Мостер;None;Ford Mustang GT;27;47'51.2842;6.5935;2.2668;None;111
6;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;27;47'54.7982;10.1075;3.5140;None;102
7;None;15;Рик Келли;None;Nissan Altima L33;27;47'58.2067;13.5160;3.4085;None;96
8;None;200;Скотт Пай;None;Holden Commodore ZB;27;47'58.8456;14.1549;0.6389;None;90
9;None;8;Ник Перкат;None;Holden Commodore ZB;27;47'59.0987;14.4080;0.2531;None;84
10;None;23;Уилл Дэвисон;None;Ford Mustang GT;27;47'59.7588;15.0681;0.6601;None;78
11;None;35;Тодд Хазелвуд;None;Holden Commodore ZB;27;48'00.0468;15.3561;0.2880;None;72
12;None;99;Антон де Паскуале;None;Holden Commodore ZB;27;48'01.1251;16.4344;1.0783;None;69
13;None;34;Джеймс Голдинг;None;Holden Commodore ZB;27;48'01.9439;17.2532;0.8188;None;66
14;None;33;Ричи Стэнэвей;None;Holden Commodore ZB;27;48'02.9958;18.3051;1.0519;None;63
15;None;5;Ли Холдсуорт;None;Ford Mustang GT;27;48'03.4083;18.7176;0.4125;None;60
16;None;78;Симона де Сильвестро;None;Nissan Altima L33;27;48'03.7179;19.0272;0.3096;None;57
17;None;14;Тим Слейд;None;Holden Commodore ZB;27;48'04.2854;19.5947;0.5675;None;54
18;None;21;Маколи Джонс;None;Holden Commodore ZB;27;48'04.7735;20.0828;0.4881;None;51
19;None;3;Гарри Джекобсон;None;Nissan Altima L33;27;48'06.3186;21.6279;1.5451;None;48
20;None;19;Джек ЛеБрок;None;Holden Commodore ZB;27;48'20.6774;35.9867;14.3588;None;45
21;None;18;Марк Винтерботтом;None;Holden Commodore ZB;27;49'17.7575;1'33.0668;57.0801;None;42
22;None;22;Джеймс Кортни;None;Holden Commodore ZB;26;48'07.7914;1 Lap;1 Lap;None;39
None;None;6;Кэмерон Уотерс;None;Ford Mustang GT;21;38'34.7662;6 Laps;5 Laps;Сход;None
None;None;88;Джейми Уинкап;None;Holden Commodore ZB;11;18'02.4321;16 Laps;10 Laps;Сход;None
