Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'29.2292;179.335
2;12;Фабиан Култхард;None;Ford Mustang GT;1'29.8114;178.173
3;55;Час Мостер;None;Ford Mustang GT;1'30.1031;177.596
4;7;Андре Хаймгартнер;None;Nissan Altima L33;1'30.1429;177.518
5;23;Уилл Дэвисон;None;Ford Mustang GT;1'30.2857;177.237
6;15;Рик Келли;None;Nissan Altima L33;1'30.3020;177.205
7;6;Кэмерон Уотерс;None;Ford Mustang GT;1'30.4441;176.926
8;200;Скотт Пай;None;Holden Commodore ZB;1'30.4899;176.837
9;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'30.6059;176.611
10;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'30.6662;176.493
11;5;Ли Холдсуорт;None;Ford Mustang GT;1'30.6294;176.565
12;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'30.7432;176.343
13;99;Антон де Паскуале;None;Holden Commodore ZB;1'30.7866;176.259
14;8;Ник Перкат;None;Holden Commodore ZB;1'31.2873;175.292
15;14;Тим Слейд;None;Holden Commodore ZB;1'30.9813;175.882
16;18;Марк Винтерботтом;None;Holden Commodore ZB;1'30.9823;175.880
17;88;Джейми Уинкап;None;Holden Commodore ZB;1'31.2503;175.363
18;22;Джеймс Кортни;None;Holden Commodore ZB;1'31.2946;175.278
19;33;Ричи Стэнэвей;None;Holden Commodore ZB;1'31.3255;175.219
20;3;Гарри Джекобсон;None;Nissan Altima L33;1'31.4948;174.895
21;78;Симона де Сильвестро;None;Nissan Altima L33;1'31.6399;174.618
22;19;Джек ЛеБрок;None;Holden Commodore ZB;1'31.7737;174.363
23;21;Маколи Джонс;None;Holden Commodore ZB;1'31.9718;173.988
24;34;Джеймс Голдинг;None;Holden Commodore ZB;5'35.3082;47.723
