Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;70;1:31'05.6781;None;None;None;150
2;None;1;Джейми Уинкап;None;Holden Commodore ZB;70;1:31'06.4602;0.7821;0.7821;None;138
3;None;17;Скотт Маклафлин;None;Ford Falcon FG X;70;1:31'14.2115;8.5334;7.7513;None;129
4;None;888;Крэг Лаундес;None;Holden Commodore ZB;70;1:31'14.9895;9.3114;0.7780;None;120
5;None;55;Час Мостер;None;Ford Falcon FG X;70;1:31'15.5549;9.8768;0.5654;None;111
6;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;70;1:31'16.9557;11.2776;1.4008;None;102
7;None;15;Рик Келли;None;Nissan Altima;70;1:31'18.8599;13.1818;1.9042;None;96
8;None;12;Фабиан Култхард;None;Ford Falcon FG X;70;1:31'19.0871;13.4090;0.2272;None;90
9;None;6;Кэмерон Уотерс;None;Ford Falcon FG X;70;1:31'19.7799;14.1018;0.6928;None;84
10;None;25;Джеймс Кортни;None;Holden Commodore ZB;70;1:31'20.9111;15.2330;1.1312;None;78
11;None;7;Андре Хаймгартнер;None;Nissan Altima;70;1:31'22.8034;17.1253;1.8923;None;72
12;None;5;Марк Винтерботтом;None;Ford Falcon FG X;70;1:31'23.1024;17.4243;0.2990;None;69
13;None;8;Ник Перкат;None;Holden Commodore ZB;70;1:31'23.5041;17.8260;0.4017;None;66
14;None;14;Тим Слейд;None;Holden Commodore ZB;70;1:31'24.4072;18.7291;0.9031;None;63
15;None;18;Ли Холдсуорт;None;Holden Commodore ZB;70;1:31'24.8378;19.1597;0.4306;None;60
16;None;34;Джеймс Голдинг;None;Holden Commodore ZB;70;1:31'25.3688;19.6907;0.5310;None;57
17;None;99;Антон де Паскуале;None;Holden Commodore ZB;70;1:31'27.2587;21.5806;1.8899;None;54
18;None;19;Джек ЛеБрок;None;Holden Commodore ZB;70;1:31'37.0778;31.3997;9.8191;None;51
19;None;33;Гарт Тандер;None;Holden Commodore ZB;69;1:31'11.3774;1 Lap;1 Lap;None;48
20;None;56;Ричи Стэнэвей;None;Ford Falcon FG X;69;1:31'18.0923;1 Lap;6.7149;None;45
21;None;2;Скотт Пай;None;Holden Commodore ZB;69;1:31'21.4687;1 Lap;3.3764;None;42
22;None;78;Симона де Сильвестро;None;Nissan Altima;69;1:31'23.9236;1 Lap;2.4549;None;39
23;None;35;Тодд Хазелвуд;None;Ford Falcon FG X;69;1:31'31.9729;1 Lap;8.0493;None;36
24;None;21;Тим Бланкард;None;Holden Commodore ZB;68;1:31'35.5621;2 Laps;1 Lap;None;33
None;nc;230;Уилл Дэвисон;None;Ford Falcon FG X;67;1:27'38.1943;3 Laps;1 Lap;None;None
None;nc;23;Майкл Карузо;None;Nissan Altima;60;1:17'21.9759;10 Laps;7 Laps;None;None
