Позиция;#;Гонщик;None;Машина;Время;км/ч
1;5;Ли Холдсуорт Майкл Карузо;None;Ford Mustang GT;2'04.0242;180.342
2;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;2'04.0351;180.326
3;17;Скотт Маклафлин Тим Слейд;None;Ford Mustang GT;2'04.1035;180.226
4;6;Кэмерон Уотерс Уилл Дэвисон;None;Ford Mustang GT;2'04.1056;180.223
5;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;2'04.2660;179.991
6;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;2'04.2813;179.969
7;99;Антон де Паскуале Brodie Kostecki;None;Holden Commodore ZB;2'04.4668;179.700
8;25;Час Мостер Уоррен Лафф;None;Holden Commodore ZB;2'04.4936;179.662
9;44;Джеймс Кортни Broc Feeney;None;Ford Mustang GT;2'04.5485;179.583
10;8;Ник Перкат Томас Рэндл;None;Holden Commodore ZB;2'04.5539;179.575
11;2;Брайс Фуллвуд Курт Костеки;None;Holden Commodore ZB;2'04.6050;179.501
12;20;Скотт Пай Дин Фьоре;None;Holden Commodore ZB;2'04.6320;179.462
13;9;Дэвид Рейнольдс Уилл Браун;None;Holden Commodore ZB;2'04.6730;179.403
14;7;Андре Хаймгартнер Dylan O'Keeffe;None;Ford Mustang GT;2'04.8529;179.145
15;55;Джек ЛеБрок Джеймс Моффат;None;Ford Mustang GT;2'04.9054;179.069
16;14;Тодд Хазелвуд Jordan Boys;None;Holden Commodore ZB;2'04.9729;178.973
17;3;Маколи Джонс Тим Бланкард;None;Holden Commodore ZB;2'05.0374;178.880
18;18;Марк Винтерботтом Джеймс Голдинг;None;Holden Commodore ZB;2'05.1731;178.686
19;15;Рик Келли Дейл Вуд;None;Ford Mustang GT;2'05.2592;178.564
20;19;Алекс Дэвисон Джонатон Уэбб;None;Holden Commodore ZB;2'05.3322;178.460
21;35;Гарри Джекобсон Дэвид Расселл;None;Holden Commodore ZB;2'05.4141;178.343
22;4;Джек Смит Джек Перкинс;None;Holden Commodore ZB;2'06.3498;177.022
23;22;Крис Питер Steven Owen;None;Holden Commodore ZB;2'06.3535;177.017
24;40;Tyler Everingham Jayden Ojeda;None;Holden Commodore ZB;2'06.6812;176.559
25;34;Джейк Костеки Зейн Годдард;None;Holden Commodore ZB;2'15.1542;165.490
