Позиция;#;Гонщик;None;Машина;Время;км/ч
1;12;Фабиан Култхард;None;Ford Mustang GT;1'19.8918;145.096
2;88;Джейми Уинкап;None;Holden Commodore ZB;1'20.2179;144.506
3;17;Скотт Маклафлин;None;Ford Mustang GT;1'20.2551;144.439
4;6;Кэмерон Уотерс;None;Ford Mustang GT;1'20.3402;144.286
5;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'20.3883;144.200
6;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'20.5130;143.976
7;23;Уилл Дэвисон;None;Ford Mustang GT;1'20.5228;143.959
8;8;Ник Перкат;None;Holden Commodore ZB;1'20.6132;143.797
9;22;Джеймс Кортни;None;Holden Commodore ZB;1'21.0460;143.029
10;15;Рик Келли;None;Nissan Altima;1'21.0568;143.010
11;14;Тим Слейд;None;Holden Commodore ZB;1'20.0644;144.783
12;55;Час Мостер;None;Ford Mustang GT;1'20.0828;144.750
13;7;Андре Хаймгартнер;None;Nissan Altima;1'20.1532;144.623
14;5;Ли Холдсуорт;None;Ford Mustang GT;1'20.2092;144.522
15;2;Скотт Пай;None;Holden Commodore ZB;1'20.2864;144.383
16;18;Марк Винтерботтом;None;Holden Commodore ZB;1'20.3580;144.254
17;33;Ричи Стэнэвей;None;Holden Commodore ZB;1'20.4014;144.176
18;34;Джеймс Голдинг;None;Holden Commodore ZB;1'20.4663;144.060
19;3;Гарри Джекобсон;None;Nissan Altima;1'20.4927;144.013
20;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'20.6134;143.797
21;78;Симона де Сильвестро;None;Nissan Altima;1'20.7216;143.604
22;19;Джек ЛеБрок;None;Holden Commodore ZB;1'20.9141;143.263
23;99;Антон де Паскуале;None;Holden Commodore ZB;None;None
