Позиция;#;Гонщик;None;Машина;Время;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore VF;1'19.5723;145.678
2;12;Фабиан Култхард;None;Ford Falcon FG-X;1'19.6165;145.597
3;55;Час Мостер;None;Ford Falcon FG-X;1'19.8687;145.138
4;22;Джеймс Кортни;None;Holden Commodore VF;1'19.9932;144.912
5;5;Марк Винтерботтом;None;Ford Falcon FG-X;1'20.0176;144.868
6;17;Скотт Маклафлин;None;Ford Falcon FG-X;1'20.0574;144.796
7;88;Джейми Уинкап;None;Holden Commodore VF;1'20.1604;144.610
8;15;Рик Келли;None;Nissan Altima;1'20.3544;144.260
9;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1'20.3785;144.217
10;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'20.4829;144.030
11;8;Ник Перкат;None;Holden Commodore VF;1'20.1235;144.676
12;14;Тим Слейд;None;Holden Commodore VF;1'20.1747;144.584
13;888;Крэг Лаундес;None;Holden Commodore VF;1'20.2137;144.513
14;23;Майкл Карузо;None;Nissan Altima;1'20.2461;144.455
15;33;Гарт Тандер;None;Holden Commodore VF;1'20.2585;144.433
16;7;Тодд Келли;None;Nissan Altima;1'20.2618;144.427
17;19;Уилл Дэвисон;None;Holden Commodore VF;1'20.2802;144.394
18;2;Скотт Пай;None;Holden Commodore VF;1'20.3479;144.272
19;34;Джеймс Моффат;None;Holden Commodore VF;1'20.4186;144.145
20;18;Ли Холдсуорт;None;Holden Commodore VF;1'20.4696;144.054
21;99;Дейл Вуд;None;Holden Commodore VF;1'20.6664;143.702
22;56;Джейсон Брайт;None;Ford Falcon FG-X;1'20.8057;143.455
23;21;Тим Бланкард;None;Holden Commodore VF;1'20.8376;143.398
24;78;Симона де Сильвестро;None;Nissan Altima;1'21.1722;142.807
25;3;Таз Дуглас;None;Holden Commodore VF;1'22.1247;141.151
26;62;Алекс Рулло;None;Holden Commodore VF;1'23.0244;139.621
