Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore VF;8;1'19.7806;None;None;145.298
2;17;Скотт Маклафлин;None;Ford Falcon FG-X;7;1'19.7807;0.0001;0.0001;145.298
3;15;Рик Келли;None;Nissan Altima;9;1'19.8607;0.0801;0.0800;145.152
4;22;Джеймс Кортни;None;Holden Commodore VF;6;1'19.8670;0.0864;0.0063;145.141
5;55;Час Мостер;None;Ford Falcon FG-X;9;1'19.8676;0.0870;0.0006;145.140
6;12;Фабиан Култхард;None;Ford Falcon FG-X;9;1'19.8908;0.1102;0.0232;145.098
7;88;Джейми Уинкап;None;Holden Commodore VF;5;1'19.8969;0.1163;0.0061;145.086
8;5;Марк Винтерботтом;None;Ford Falcon FG-X;11;1'20.0565;0.2759;0.1596;144.797
9;6;Кэмерон Уотерс;None;Ford Falcon FG-X;8;1'20.0566;0.2760;0.0001;144.797
10;9;Дэвид Рейнольдс;None;Holden Commodore VF;10;1'20.1050;0.3244;0.0484;144.710
11;8;Ник Перкат;None;Holden Commodore VF;9;1'20.1235;0.3429;0.0185;144.676
12;14;Тим Слейд;None;Holden Commodore VF;10;1'20.1747;0.3941;0.0512;144.584
13;888;Крэг Лаундес;None;Holden Commodore VF;9;1'20.2137;0.4331;0.0390;144.513
14;23;Майкл Карузо;None;Nissan Altima;10;1'20.2461;0.4655;0.0324;144.455
15;33;Гарт Тандер;None;Holden Commodore VF;10;1'20.2585;0.4779;0.0124;144.433
16;7;Тодд Келли;None;Nissan Altima;8;1'20.2618;0.4812;0.0033;144.427
17;19;Уилл Дэвисон;None;Holden Commodore VF;9;1'20.2802;0.4996;0.0184;144.394
18;2;Скотт Пай;None;Holden Commodore VF;9;1'20.3479;0.5673;0.0677;144.272
19;34;Джеймс Моффат;None;Holden Commodore VF;11;1'20.4186;0.6380;0.0707;144.145
20;18;Ли Холдсуорт;None;Holden Commodore VF;10;1'20.4696;0.6890;0.0510;144.054
21;99;Дейл Вуд;None;Holden Commodore VF;10;1'20.6664;0.8858;0.1968;143.702
22;56;Джейсон Брайт;None;Ford Falcon FG-X;9;1'20.8057;1.0251;0.1393;143.455
23;21;Тим Бланкард;None;Holden Commodore VF;10;1'20.8376;1.0570;0.0319;143.398
24;78;Симона де Сильвестро;None;Nissan Altima;10;1'21.1722;1.3916;0.3346;142.807
25;3;Таз Дуглас;None;Holden Commodore VF;10;1'22.1247;2.3441;0.9525;141.151
26;62;Алекс Рулло;None;Holden Commodore VF;10;1'23.0244;3.2438;0.8997;139.621
