Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;39;-;None;None;None;None
2;None;17;Скотт Маклафлин;None;Ford Mustang GT;39;8.3952;8.395;8.395;None;None
3;None;88;Джейми Уинкап;None;Holden Commodore ZB;39;10.2930;10.293;1.898;None;None
4;None;8;Ник Перкат;None;Holden Commodore ZB;39;13.5673;13.567;3.274;None;None
5;None;6;Кэмерон Уотерс;None;Ford Mustang GT;39;14.8073;14.807;1.240;None;None
6;None;20;Скотт Пай;None;Holden Commodore ZB;39;16.1278;16.128;1.321;None;None
7;None;55;Джек ЛеБрок;None;Ford Mustang GT;39;33.8566;33.857;17.729;None;None
8;None;5;Ли Холдсуорт;None;Ford Mustang GT;39;36.3089;36.309;2.452;None;None
9;None;18;Марк Винтерботтом;None;Holden Commodore ZB;39;38.4042;38.404;2.095;None;None
10;None;25;Час Мостер;None;Holden Commodore ZB;39;42.9708;42.971;4.567;None;None
11;None;15;Рик Келли;None;Ford Mustang GT;39;43.1928;43.193;0.222;None;None
12;None;2;Брайс Фуллвуд;None;Holden Commodore ZB;39;43.4214;43.421;0.229;None;None
13;None;44;Джеймс Кортни;None;Ford Mustang GT;39;44.4049;44.405;0.983;None;None
14;None;14;Тодд Хазелвуд;None;Holden Commodore ZB;39;48.1101;48.110;3.705;None;None
15;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;39;48.3035;48.304;0.193;None;None
16;None;99;Антон де Паскуале;None;Holden Commodore ZB;39;49.4810;49.481;1.178;None;None
17;None;35;Гарри Джекобсон;None;Holden Commodore ZB;39;52.1388;52.139;2.658;None;None
18;None;3;Маколи Джонс;None;Holden Commodore ZB;39;52.5054;52.505;0.367;None;None
19;None;19;Алекс Дэвисон;None;Holden Commodore ZB;39;52.6732;52.673;0.168;None;None
20;None;12;Фабиан Култхард;None;Ford Mustang GT;39;52.7517;52.752;0.078;None;None
21;None;22;Крис Питер;None;Holden Commodore ZB;39;56.0579;56.058;3.306;None;None
22;None;4;Джек Смит;None;Holden Commodore ZB;39;58.3011;58.301;2.243;None;None
23;None;34;Джейк Костеки;None;Holden Commodore ZB;39;58.7847;58.785;0.484;None;None
24;None;7;Андре Хаймгартнер;None;Ford Mustang GT;39;1'03.7529;1'03.753;4.968;None;None
