Позиция;#;Гонщик;None;Машина;Время;км/ч
1;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'12.1541;142.694
2;8;Ник Перкат;None;Holden Commodore ZB;1'12.1761;142.651
3;25;Час Мостер;None;Holden Commodore ZB;1'12.2449;142.515
4;99;Антон де Паскуале;None;Holden Commodore ZB;1'12.3053;142.396
5;88;Джейми Уинкап;None;Holden Commodore ZB;1'12.3370;142.333
6;6;Кэмерон Уотерс;None;Ford Mustang GT;1'12.3385;142.330
7;5;Ли Холдсуорт;None;Ford Mustang GT;1'12.4077;142.194
8;55;Джек ЛеБрок;None;Ford Mustang GT;1'12.4377;142.135
9;44;Джеймс Кортни;None;Ford Mustang GT;1'12.4424;142.126
10;17;Скотт Маклафлин;None;Ford Mustang GT;1'12.4599;142.092
11;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'12.4982;142.017
12;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'12.5016;142.010
13;19;Алекс Дэвисон;None;Holden Commodore ZB;1'12.5214;141.971
14;12;Фабиан Култхард;None;Ford Mustang GT;1'12.5802;141.856
15;18;Марк Винтерботтом;None;Holden Commodore ZB;1'12.6605;141.700
16;3;Маколи Джонс;None;Holden Commodore ZB;1'12.6664;141.688
17;20;Скотт Пай;None;Holden Commodore ZB;1'12.7550;141.516
18;7;Андре Хаймгартнер;None;Ford Mustang GT;1'12.7630;141.500
20;15;Рик Келли;None;Ford Mustang GT;1'12.8165;141.396
21;22;Крис Питер;None;Holden Commodore ZB;1'12.8375;141.355
19;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'12.7793;141.468
22;34;Джейк Костеки;None;Holden Commodore ZB;1'12.9201;141.195
23;4;Джек Смит;None;Holden Commodore ZB;1'13.1645;140.723
24;35;Гарри Джекобсон;None;Holden Commodore ZB;1'13.1911;140.672
