Позиция;#;Гонщик;None;Машина;Время;км/ч
1;8;Ник Перкат;None;Holden Commodore ZB;1'12.2623;142.480
2;17;Скотт Маклафлин;None;Ford Mustang GT;1'12.3422;142.323
3;6;Кэмерон Уотерс;None;Ford Mustang GT;1'12.4291;142.152
4;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'12.4727;142.067
5;88;Джейми Уинкап;None;Holden Commodore ZB;1'12.5539;141.908
6;55;Джек ЛеБрок;None;Ford Mustang GT;1'12.6033;141.811
7;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'12.6550;141.710
8;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'12.6697;141.682
9;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'12.7373;141.550
10;5;Ли Холдсуорт;None;Ford Mustang GT;1'12.7433;141.538
11;20;Скотт Пай;None;Holden Commodore ZB;1'12.7459;141.533
12;3;Маколи Джонс;None;Holden Commodore ZB;1'12.7611;141.504
13;25;Час Мостер;None;Holden Commodore ZB;1'12.7758;141.475
14;35;Гарри Джекобсон;None;Holden Commodore ZB;1'12.8197;141.390
15;44;Джеймс Кортни;None;Ford Mustang GT;1'12.8379;141.354
16;12;Фабиан Култхард;None;Ford Mustang GT;1'12.8764;141.280
17;19;Алекс Дэвисон;None;Holden Commodore ZB;1'12.9687;141.101
18;15;Рик Келли;None;Ford Mustang GT;1'13.0157;141.010
19;18;Марк Винтерботтом;None;Holden Commodore ZB;1'13.0353;140.972
20;22;Крис Питер;None;Holden Commodore ZB;1'13.1947;140.665
21;4;Джек Смит;None;Holden Commodore ZB;1'13.2107;140.635
22;34;Джейк Костеки;None;Holden Commodore ZB;1'13.2836;140.495
23;99;Антон де Паскуале;None;Holden Commodore ZB;None;None
24;7;Андре Хаймгартнер;None;Ford Mustang GT;None;None
