Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;1'27.9494;159.841
2;12;Фабиан Култхард;None;Ford Falcon FG X;1'28.0573;159.646
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'28.1257;159.522
4;15;Рик Келли;None;Nissan Altima;1'28.1521;159.474
5;1;Джейми Уинкап;None;Holden Commodore ZB;1'28.1930;159.400
6;2;Скотт Пай;None;Holden Commodore ZB;1'28.2179;159.355
7;55;Час Мостер;None;Ford Falcon FG X;1'28.3929;159.039
8;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'28.4712;158.899
9;888;Крэг Лаундес;None;Holden Commodore ZB;1'28.5306;158.792
10;23;Майкл Карузо;None;Nissan Altima;1'28.5881;158.689
11;25;Джеймс Кортни;None;Holden Commodore ZB;1'28.6982;158.492
12;14;Тим Слейд;None;Holden Commodore ZB;1'28.7224;158.449
13;34;Джеймс Голдинг;None;Holden Commodore ZB;1'28.7976;158.315
14;5;Марк Винтерботтом;None;Ford Falcon FG X;1'28.9033;158.126
15;19;Джек ЛеБрок;None;Holden Commodore ZB;1'28.9146;158.106
16;6;Кэмерон Уотерс;None;Ford Falcon FG X;1'29.2290;157.549
17;7;Андре Хаймгартнер;None;Nissan Altima;1'28.6040;158.661
18;99;Антон де Паскуале;None;Holden Commodore ZB;1'28.6067;158.656
19;230;Уилл Дэвисон;None;Ford Falcon FG X;1'28.6236;158.625
20;18;Ли Холдсуорт;None;Holden Commodore ZB;1'28.7293;158.436
21;8;Ник Перкат;None;Holden Commodore ZB;1'28.7665;158.370
22;33;Гарт Тандер;None;Holden Commodore ZB;1'28.8373;158.244
23;78;Симона де Сильвестро;None;Nissan Altima;1'28.8661;158.193
24;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'29.0648;157.840
25;21;Тим Бланкард;None;Holden Commodore ZB;1'29.1599;157.671
26;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'29.3171;157.394
