Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'06.3092;155.815
2;88;Джейми Уинкап;None;Holden Commodore ZB;1'06.6358;155.051
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'06.7406;154.808
4;25;Час Мостер;None;Holden Commodore ZB;1'06.7543;154.776
5;6;Кэмерон Уотерс;None;Ford Mustang GT;1'06.7763;154.725
6;12;Фабиан Култхард;None;Ford Mustang GT;1'06.8545;154.544
7;15;Рик Келли;None;Ford Mustang GT;1'06.8587;154.534
8;99;Антон де Паскуале;None;Holden Commodore ZB;1'06.8914;154.459
9;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'06.9218;154.389
10;8;Ник Перкат;None;Holden Commodore ZB;1'06.9295;154.371
11;3;Маколи Джонс;None;Holden Commodore ZB;1'06.9890;154.234
12;55;Джек ЛеБрок;None;Ford Mustang GT;1'06.9925;154.226
13;5;Ли Холдсуорт;None;Ford Mustang GT;1'06.9997;154.209
14;18;Марк Винтерботтом;None;Holden Commodore ZB;1'07.0079;154.190
15;44;Джеймс Кортни;None;Ford Mustang GT;1'07.1972;153.756
16;35;Гарри Джекобсон;None;Holden Commodore ZB;1'07.2415;153.655
17;34;Джейк Костеки;None;Holden Commodore ZB;1'07.2837;153.558
18;7;Андре Хаймгартнер;None;Ford Mustang GT;1'07.3294;153.454
19;19;Алекс Дэвисон;None;Holden Commodore ZB;1'07.3329;153.446
20;4;Джек Смит;None;Holden Commodore ZB;1'07.4584;153.161
21;20;Скотт Пай;None;Holden Commodore ZB;1'07.4655;153.144
22;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'07.4663;153.143
23;22;Крис Питер;None;Holden Commodore ZB;1'07.5044;153.056
24;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'07.7436;152.516
