Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'06.8589;154.534
2;88;Джейми Уинкап;None;Holden Commodore ZB;1'06.9918;154.227
3;12;Фабиан Култхард;None;Ford Mustang GT;1'07.0315;154.136
4;18;Марк Винтерботтом;None;Holden Commodore ZB;1'07.1661;153.827
5;6;Кэмерон Уотерс;None;Ford Mustang GT;1'07.2441;153.649
6;99;Антон де Паскуале;None;Holden Commodore ZB;1'07.2963;153.529
7;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'07.3815;153.335
8;44;Джеймс Кортни;None;Ford Mustang GT;1'07.4598;153.157
9;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'07.4635;153.149
10;20;Скотт Пай;None;Holden Commodore ZB;1'07.4809;153.109
11;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'07.5558;152.940
12;8;Ник Перкат;None;Holden Commodore ZB;1'07.5896;152.863
13;7;Андре Хаймгартнер;None;Ford Mustang GT;1'07.6070;152.824
14;15;Рик Келли;None;Ford Mustang GT;1'07.7363;152.532
15;55;Джек ЛеБрок;None;Ford Mustang GT;1'07.7819;152.430
16;5;Ли Холдсуорт;None;Ford Mustang GT;1'07.6620;152.700
17;19;Алекс Дэвисон;None;Holden Commodore ZB;1'07.8611;152.252
18;34;Джейк Костеки;None;Holden Commodore ZB;1'07.8703;152.231
19;22;Крис Питер;None;Holden Commodore ZB;1'07.9337;152.089
20;25;Час Мостер;None;Holden Commodore ZB;1'07.8767;152.217
21;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'08.1158;151.682
22;3;Маколи Джонс;None;Holden Commodore ZB;1'08.2085;151.476
23;35;Гарри Джекобсон;None;Holden Commodore ZB;1'08.2308;151.427
24;4;Джек Смит;None;Holden Commodore ZB;1'08.5796;150.657
