Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;88;Джейми Уинкап;None;Holden Commodore ZB;38;44'07.2487;None;None;None;100
2;None;17;Скотт Маклафлин;None;Ford Mustang GT;38;44'09.3710;2.1223;2.1223;None;92
3;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;38;44'21.6042;14.3555;12.2332;None;86
4;None;25;Час Мостер;None;Holden Commodore ZB;38;44'24.5072;17.2585;2.9030;None;80
5;None;12;Фабиан Култхард;None;Ford Mustang GT;38;44'25.0075;17.7588;0.5003;None;74
6;None;8;Ник Перкат;None;Holden Commodore ZB;38;44'29.8636;22.6149;4.8561;None;68
7;None;18;Марк Винтерботтом;None;Holden Commodore ZB;38;44'30.2319;22.9832;0.3683;None;64
8;None;55;Джек ЛеБрок;None;Ford Mustang GT;38;44'31.1066;23.8579;0.8747;None;60
9;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;38;44'32.7175;25.4688;1.6109;None;56
10;None;15;Рик Келли;None;Ford Mustang GT;38;44'33.9391;26.6904;1.2216;None;52
11;None;6;Кэмерон Уотерс;None;Ford Mustang GT;38;44'35.7238;28.4751;1.7847;None;48
12;None;5;Ли Холдсуорт;None;Ford Mustang GT;38;44'36.7687;29.5200;1.0449;None;46
13;None;35;Гарри Джекобсон;None;Holden Commodore ZB;38;44'37.1543;29.9056;0.3856;None;44
14;None;34;Джейк Костеки;None;Holden Commodore ZB;38;44'43.2944;36.0457;6.1401;None;42
15;None;4;Джек Смит;None;Holden Commodore ZB;38;44'47.1876;39.9389;3.8932;None;40
16;None;7;Андре Хаймгартнер;None;Ford Mustang GT;38;44'48.1999;40.9512;1.0123;None;38
17;None;44;Джеймс Кортни;None;Ford Mustang GT;38;44'49.2591;42.0104;1.0592;None;36
18;None;3;Маколи Джонс;None;Holden Commodore ZB;38;44'49.7026;42.4539;0.4435;None;34
19;None;2;Брайс Фуллвуд;None;Holden Commodore ZB;38;44'50.0340;42.7853;0.3314;None;32
20;None;14;Тодд Хазелвуд;None;Holden Commodore ZB;38;44'51.8751;44.6264;1.8411;None;30
21;None;22;Крис Питер;None;Holden Commodore ZB;38;44'52.9764;45.7277;1.1013;None;28
22;None;20;Скотт Пай;None;Holden Commodore ZB;38;44'54.5001;47.2514;1.5237;None;26
23;None;99;Антон де Паскуале;None;Holden Commodore ZB;38;45'08.6871;1'01.4384;14.1870;None;24
24;None;19;Алекс Дэвисон;None;Holden Commodore ZB;36;44'43.9288;2 Laps;2 Laps;None;22
