Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;88;Джейми Уинкап;None;Holden Commodore ZB;78;1:47'22.9297;None;None;None;150
2;None;17;Скотт Маклафлин;None;Ford Mustang GT;78;1:47'28.1675;5.2378;5.2378;None;138
3;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;78;1:47'29.8523;6.9226;1.6848;None;129
4;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;78;1:47'36.2682;13.3385;6.4159;None;120
5;None;23;Уилл Дэвисон;None;Ford Mustang GT;78;1:47'38.1931;15.2634;1.9249;None;111
6;None;6;Кэмерон Уотерс;None;Ford Mustang GT;78;1:47'39.8230;16.8933;1.6299;None;102
7;None;25;Час Мостер;None;Holden Commodore ZB;78;1:47'43.4904;20.5607;3.6674;None;96
8;None;18;Марк Винтерботтом;None;Holden Commodore ZB;78;1:47'50.2641;27.3344;6.7737;None;90
9;None;15;Рик Келли;None;Ford Mustang GT;78;1:47'55.2083;32.2786;4.9442;None;84
10;None;12;Фабиан Култхард;None;Ford Mustang GT;78;1:47'55.9081;32.9784;0.6998;None;78
11;None;7;Андре Хаймгартнер;None;Ford Mustang GT;78;1:47'57.4472;34.5175;1.5391;None;72
12;None;5;Ли Холдсуорт;None;Ford Mustang GT;78;1:47'57.9808;35.0511;0.5336;None;69
13;None;14;Тодд Хазелвуд;None;Holden Commodore ZB;78;1:48'00.0774;37.1477;2.0966;None;66
14;None;99;Антон де Паскуале;None;Holden Commodore ZB;78;1:48'13.7331;50.8034;13.6557;None;63
15;None;20;Скотт Пай;None;Holden Commodore ZB;78;1:48'25.7097;1'02.7800;11.9766;None;60
16;None;55;Джек ЛеБрок;None;Ford Mustang GT;78;1:48'31.9476;1'09.0179;6.2379;None;57
17;None;3;Маколи Джонс;None;Holden Commodore ZB;78;1:48'32.5321;1'09.6024;0.5845;None;54
18;None;34;Зейн Годдард;None;Holden Commodore ZB;77;1:47'35.3855;1 Lap;1 Lap;None;51
19;None;22;Крис Питер;None;Holden Commodore ZB;77;1:48'06.6091;1 Lap;31.2236;None;48
20;None;4;Джек Смит;None;Holden Commodore ZB;76;1:48'10.0357;2 Laps;1 Lap;None;45
21;None;2;Брайс Фуллвуд;None;Holden Commodore ZB;73;1:48'03.4126;5 Laps;3 Laps;None;42
22;None;8;Ник Перкат;None;Holden Commodore ZB;65;1:48'39.7434;13 Laps;8 Laps;None;39
None;None;19;Джеймс Кортни;None;Holden Commodore ZB;16;22'40.1477;62 Laps;49 Laps;Сход;None
None;None;35;Гарри Джекобсон;None;Holden Commodore ZB;5;7'15.3138;73 Laps;11 Laps;Сход;None
