Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;8;Ник Перкат;None;Holden Commodore ZB;32;50'14.1246;None;None;None;100
2;None;88;Джейми Уинкап;None;Holden Commodore ZB;32;50'17.3058;3.1812;3.1812;None;92
3;None;17;Скотт Маклафлин;None;Ford Mustang GT;32;50'30.5716;16.4470;13.2658;None;86
4;None;25;Час Мостер;None;Holden Commodore ZB;32;50'33.8935;19.7689;3.3219;None;80
5;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;32;50'36.0871;21.9625;2.1936;None;74
6;None;6;Кэмерон Уотерс;None;Ford Mustang GT;32;50'37.1709;23.0463;1.0838;None;68
7;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;32;50'37.6271;23.5025;0.4562;None;64
8;None;18;Марк Винтерботтом;None;Holden Commodore ZB;32;50'38.4969;24.3723;0.8698;None;60
9;None;44;Джеймс Кортни;None;Ford Mustang GT;32;50'43.1082;28.9836;4.6113;None;56
10;None;7;Андре Хаймгартнер;None;Ford Mustang GT;32;50'47.6945;33.5699;4.5863;None;52
11;None;20;Скотт Пай;None;Holden Commodore ZB;32;50'51.7202;37.5956;4.0257;None;48
12;None;99;Антон де Паскуале;None;Holden Commodore ZB;32;50'52.6509;38.5263;0.9307;None;46
13;None;5;Ли Холдсуорт;None;Ford Mustang GT;32;50'53.3056;39.1810;0.6547;None;44
14;None;55;Джек ЛеБрок;None;Ford Mustang GT;32;50'53.4864;39.3618;0.1808;None;42
15;None;12;Фабиан Култхард;None;Ford Mustang GT;32;50'57.1363;43.0117;3.6499;None;40
16;None;3;Маколи Джонс;None;Holden Commodore ZB;32;51'03.9821;49.8575;6.8458;None;38
17;None;19;Алекс Дэвисон;None;Holden Commodore ZB;32;51'07.4367;53.3121;3.4546;None;36
18;None;14;Тодд Хазелвуд;None;Holden Commodore ZB;32;51'08.1844;54.0598;0.7477;None;34
19;None;15;Рик Келли;None;Ford Mustang GT;32;51'10.9265;56.8019;2.7421;None;32
20;None;2;Брайс Фуллвуд;None;Holden Commodore ZB;32;51'11.7064;57.5818;0.7799;None;30
21;None;35;Гарри Джекобсон;None;Holden Commodore ZB;32;51'14.2460;1'00.1214;2.5396;None;28
22;None;22;Крис Питер;None;Holden Commodore ZB;32;51'19.9616;1'05.8370;5.7156;None;26
23;None;4;Джек Смит;None;Holden Commodore ZB;32;51'27.9212;1'13.7966;7.9596;None;24
24;None;34;Джейк Костеки;None;Holden Commodore ZB;31;50'28.2548;1 Lap;1 Lap;None;22
