Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;88;Джейми Уинкап;None;Holden Commodore VF;52;1:24'01.8616;None;None;None;150
2;None;12;Фабиан Култхард;None;Ford Falcon FG/X;52;1:24'11.7245;9.8629;9.8629;None;138
3;None;97;Шейн ван Гисберген;None;Holden Commodore VF;52;1:24'15.8217;13.9601;4.0972;None;129
4;None;17;Скотт Маклафлин;None;Ford Falcon FG-X;52;1:24'15.9641;14.1025;0.1424;None;120
5;None;55;Час Мостер;None;Ford Falcon FG-X;52;1:24'17.7857;15.9241;1.8216;None;111
6;None;8;Ник Перкат;None;Holden Commodore VF;52;1:24'22.6671;20.8055;4.8814;None;102
7;None;23;Майкл Карузо;None;Nissan Altima;52;1:24'22.7075;20.8459;0.0404;None;96
8;None;56;Джейсон Брайт;None;Ford Falcon FG-X;52;1:24'27.5046;25.6430;4.7971;None;90
9;None;9;Дэвид Рейнольдс;None;Holden Commodore VF;52;1:24'34.6419;32.7803;7.1373;None;84
10;None;7;Тодд Келли;None;Nissan Altima;52;1:24'38.6051;36.7435;3.9632;None;78
11;None;33;Гарт Тандер;None;Holden Commodore VF;52;1:24'42.1890;40.3274;3.5839;None;72
12;None;95;Уилл Дэвисон;None;Holden Commodore VF;52;1:24'42.4205;40.5589;0.2315;None;69
13;None;21;Тим Бланкард;None;Holden Commodore VF;52;1:24'44.5968;42.7352;2.1763;None;66
14;None;34;Джеймс Моффат;None;Holden Commodore VF;52;1:24'46.6471;44.7855;2.0503;None;63
15;None;18;Ли Холдсуорт;None;Holden Commodore VF;52;1:24'50.1666;48.3050;3.5195;None;60
16;None;22;Джеймс Кортни;None;Holden Commodore VF;52;1:24'50.4300;48.5684;0.2634;None;57
17;None;14;Тим Слейд;None;Holden Commodore VF;52;1:24'50.9625;49.1009;0.5325;None;54
18;None;2;Скотт Пай;None;Holden Commodore VF;52;1:24'51.6265;49.7649;0.6640;None;51
19;None;5;Марк Винтерботтом;None;Ford Falcon FG-X;52;1:24'59.1781;57.3165;7.5516;None;48
20;None;15;Рик Келли;None;Nissan Altima;52;1:25'03.5343;1'01.6727;4.3562;None;45
21;None;3;Алекс Дэвисон;None;Holden Commodore VF;52;1:25'34.4256;1'32.5640;30.8913;None;42
22;None;99;Дейл Вуд;None;Holden Commodore VF;51;1:25'01.5780;1 Lap;1 Lap;None;39
23;None;78;Симона де Сильвестро;None;Nissan Altima;51;1:25'18.3323;1 Lap;16.7543;None;36
24;None;888;Крэг Лаундес;None;Holden Commodore VF;39;1:25'15.9300;13 Laps;12 Laps;None;33
None;None;62;Алекс Рулло;None;Holden Commodore VF;15;26'32.1436;37 Laps;24 Laps;Сход;None
None;None;6;Кэмерон Уотерс;None;Ford Falcon FG-X;15;27'05.1223;37 Laps;32.9787;Сход;None
