Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;7;1'28.2259;None;None;159.340
2;55;Час Мостер;None;Ford Falcon FG-X;8;1'28.3593;0.1334;0.1334;159.100
3;88;Джейми Уинкап;None;Holden Commodore VF;7;1'28.5348;0.3089;0.1755;158.785
4;97;Шейн ван Гисберген;None;Holden Commodore VF;8;1'28.6090;0.3831;0.0742;158.652
5;12;Фабиан Култхард;None;Ford Falcon FG/X;8;1'28.7702;0.5443;0.1612;158.363
6;23;Майкл Карузо;None;Nissan Altima;8;1'28.8046;0.5787;0.0344;158.302
7;5;Марк Винтерботтом;None;Ford Falcon FG-X;8;1'28.8706;0.6447;0.0660;158.185
8;8;Ник Перкат;None;Holden Commodore VF;6;1'28.9192;0.6933;0.0486;158.098
9;14;Тим Слейд;None;Holden Commodore VF;7;1'28.9565;0.7306;0.0373;158.032
10;56;Джейсон Брайт;None;Ford Falcon FG-X;7;1'28.9815;0.7556;0.0250;157.987
11;18;Ли Холдсуорт;None;Holden Commodore VF;8;1'29.0166;0.7907;0.0351;157.925
12;9;Дэвид Рейнольдс;None;Holden Commodore VF;8;1'29.0189;0.7930;0.0023;157.921
13;7;Тодд Келли;None;Nissan Altima;8;1'29.0460;0.8201;0.0271;157.873
14;888;Крэг Лаундес;None;Holden Commodore VF;8;1'29.0597;0.8338;0.0137;157.849
15;6;Кэмерон Уотерс;None;Ford Falcon FG-X;8;1'29.0655;0.8396;0.0058;157.838
16;95;Уилл Дэвисон;None;Holden Commodore VF;8;1'29.1110;0.8851;0.0455;157.758
17;15;Рик Келли;None;Nissan Altima;8;1'29.1204;0.8945;0.0094;157.741
18;2;Скотт Пай;None;Holden Commodore VF;8;1'29.1653;0.9394;0.0449;157.662
19;22;Джеймс Кортни;None;Holden Commodore VF;8;1'29.2745;1.0486;0.1092;157.469
20;34;Джеймс Моффат;None;Holden Commodore VF;8;1'29.3135;1.0876;0.0390;157.400
21;33;Гарт Тандер;None;Holden Commodore VF;8;1'29.4766;1.2507;0.1631;157.113
22;78;Симона де Сильвестро;None;Nissan Altima;8;1'29.5750;1.3491;0.0984;156.941
23;21;Тим Бланкард;None;Holden Commodore VF;4;1'29.6305;1.4046;0.0555;156.843
24;99;Дейл Вуд;None;Holden Commodore VF;8;1'29.7219;1.4960;0.0914;156.684
25;62;Алекс Рулло;None;Holden Commodore VF;7;1'30.1769;1.9510;0.4550;155.893
26;3;Алекс Дэвисон;None;Holden Commodore VF;9;1'30.2604;2.0345;0.0835;155.749
