Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;1'28.2259;159.340
2;55;Час Мостер;None;Ford Falcon FG-X;1'28.3593;159.100
3;88;Джейми Уинкап;None;Holden Commodore VF;1'28.5348;158.785
4;97;Шейн ван Гисберген;None;Holden Commodore VF;1'28.6090;158.652
5;12;Фабиан Култхард;None;Ford Falcon FG/X;1'28.7702;158.363
6;23;Майкл Карузо;None;Nissan Altima;1'28.8046;158.302
7;5;Марк Винтерботтом;None;Ford Falcon FG-X;1'28.8706;158.185
8;8;Ник Перкат;None;Holden Commodore VF;1'28.9192;158.098
9;14;Тим Слейд;None;Holden Commodore VF;1'28.9565;158.032
10;56;Джейсон Брайт;None;Ford Falcon FG-X;1'28.9815;157.987
11;18;Ли Холдсуорт;None;Holden Commodore VF;1'29.0166;157.925
12;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'29.0189;157.921
13;7;Тодд Келли;None;Nissan Altima;1'29.0460;157.873
14;888;Крэг Лаундес;None;Holden Commodore VF;1'29.0597;157.849
15;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1'29.0655;157.838
16;15;Рик Келли;None;Nissan Altima;1'29.1204;157.741
17;2;Скотт Пай;None;Holden Commodore VF;1'29.1653;157.662
18;22;Джеймс Кортни;None;Holden Commodore VF;1'29.2745;157.469
19;34;Джеймс Моффат;None;Holden Commodore VF;1'29.3135;157.400
20;33;Гарт Тандер;None;Holden Commodore VF;1'29.4766;157.113
21;95;Уилл Дэвисон;None;Holden Commodore VF;1'29.1110;157.758
22;78;Симона де Сильвестро;None;Nissan Altima;1'29.5750;156.941
23;21;Тим Бланкард;None;Holden Commodore VF;1'29.6305;156.843
24;99;Дейл Вуд;None;Holden Commodore VF;1'29.7219;156.684
25;62;Алекс Рулло;None;Holden Commodore VF;1'30.1769;155.893
26;3;Алекс Дэвисон;None;Holden Commodore VF;1'30.2604;155.749
