Позиция;#;Гонщик;None;Машина;Время;км/ч
1;6;Кэмерон Уотерс;None;Ford Mustang GT;1'12.4869;142.039
2;17;Скотт Маклафлин;None;Ford Mustang GT;1'12.5027;142.008
3;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'12.6240;141.771
4;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'12.7604;141.505
5;333;Фабиан Култхард;None;Ford Mustang GT;1'12.8599;141.312
6;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'12.8790;141.275
7;99;Антон де Паскуале;None;Holden Commodore ZB;1'12.9107;141.213
8;5;Ли Холдсуорт;None;Ford Mustang GT;1'12.9372;141.162
9;14;Тим Слейд;None;Holden Commodore ZB;1'13.1209;140.807
10;22;Джеймс Кортни;None;Holden Commodore ZB;1'13.2260;140.605
11;7;Андре Хаймгартнер;None;Nissan Altima;1'12.4961;142.021
12;88;Джейми Уинкап;None;Holden Commodore ZB;1'12.5080;141.998
13;8;Ник Перкат;None;Holden Commodore ZB;1'12.5082;141.997
14;23;Уилл Дэвисон;None;Ford Mustang GT;1'12.5156;141.983
15;100;Рик Келли;None;Nissan Altima;1'12.5622;141.892
16;55;Час Мостер;None;Ford Mustang GT;1'12.5699;141.877
17;2;Скотт Пай;None;Holden Commodore ZB;1'12.8011;141.426
18;18;Марк Винтерботтом;None;Holden Commodore ZB;1'12.8383;141.354
19;21;Маколи Джонс;None;Holden Commodore ZB;1'12.9385;141.160
20;34;Джеймс Голдинг;None;Holden Commodore ZB;1'12.9573;141.123
21;19;Джек ЛеБрок;None;Holden Commodore ZB;1'13.0502;140.944
22;3;Гарри Джекобсон;None;Nissan Altima;1'13.0964;140.855
23;78;Симона де Сильвестро;None;Nissan Altima;1'13.1006;140.846
24;33;Майкл Карузо;None;Holden Commodore ZB;1'13.2570;140.546
