Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG-X;102;2:05'17.3923;None;None;None;150
2;None;88;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore VF;102;2:05'18.8675;1.4752;1.4752;None;138
3;None;97;Шейн ван Гисберген Мэтт Кэмпбелл;None;Holden Commodore VF;102;2:05'19.9093;2.5170;1.0418;None;129
4;None;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore VF;102;2:05'38.4414;21.0491;18.5321;None;120
5;None;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG-X;102;2:05'43.2089;25.8166;4.7675;None;111
6;None;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore VF;102;2:05'45.8307;28.4384;2.6218;None;102
7;None;55;Час Мостер Steven Owen;None;Ford Falcon FG-X;102;2:05'48.8329;31.4406;3.0022;None;96
8;None;18;Ли Холдсуорт Карл Райндлер;None;Holden Commodore VF;102;2:05'48.9754;31.5831;0.1425;None;90
9;None;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG/X;102;2:05'49.3921;31.9998;0.4167;None;84
10;None;8;Ник Перкат Маколи Джонс;None;Holden Commodore VF;102;2:06'01.9458;44.5535;12.5537;None;78
11;None;15;Рик Келли Дэвид Уолл;None;Nissan Altima;102;2:06'09.9539;52.5616;8.0081;None;72
12;None;7;Тодд Келли Джек ЛеБрок;None;Nissan Altima;102;2:06'10.9036;53.5113;0.9497;None;44
13;None;2;Скотт Пай Уоррен Лафф;None;Holden Commodore VF;102;2:06'18.5209;1'01.1286;7.6173;None;66
14;None;19;Уилл Дэвисон Джонатон Уэбб;None;Holden Commodore VF;102;2:06'19.6463;1'02.2540;1.1254;None;63
15;None;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;102;2:06'27.3578;1'09.9655;7.7115;None;60
16;None;56;Джейсон Брайт Гарри Джекобсон;None;Ford Falcon FG-X;101;2:05'21.9426;1 Lap;1 Lap;None;57
17;None;33;Гарт Тандер Джеймс Голдинг;None;Holden Commodore VF;101;2:05'24.6400;1 Lap;2.6974;None;54
18;None;99;Дейл Вуд Крис Питер;None;Holden Commodore VF;101;2:05'36.4050;1 Lap;11.7650;None;51
19;None;34;Джеймс Моффат Ричард Маскат;None;Holden Commodore VF;101;2:05'38.9933;1 Lap;2.5883;None;48
20;None;21;Тим Бланкард Тодд Хазелвуд;None;Holden Commodore VF;101;2:06'23.6958;1 Lap;44.7025;None;45
21;None;6;Кэмерон Уотерс Ричи Стэнэвей;None;Ford Falcon FG-X;100;2:06'13.8096;2 Laps;1 Lap;None;42
22;None;14;Тим Слейд Андре Хаймгартнер;None;Holden Commodore VF;85;2:06'13.8238;17 Laps;15 Laps;None;39
23;None;78;Симона де Сильвестро Дэвид Расселл;None;Nissan Altima;85;2:06'43.0888;17 Laps;29.2650;None;36
None;None;62;Алекс Рулло Алекс Дэвисон;None;Holden Commodore VF;20;25'46.3993;82 Laps;65 Laps;Сход;None
None;None;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore VF;15;53'47.0248;87 Laps;5 Laps;Сход;None
None;None;3;Аарен Рассел Таз Дуглас;None;Holden Commodore VF;8;1:07'18.9164;94 Laps;7 Laps;Сход;None
