Позиция;#;Гонщик;None;Машина;Время;км/ч
1;97;Шейн ван Гисберген Мэтт Кэмпбелл;None;Holden Commodore VF;1'10.8384;150.426
2;88;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore VF;1'10.9044;150.286
3;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore VF;1'11.0954;149.883
4;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore VF;1'11.2026;149.657
5;55;Час Мостер Steven Owen;None;Ford Falcon FG-X;1'11.2054;149.651
6;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore VF;1'11.3416;149.365
7;6;Кэмерон Уотерс Ричи Стэнэвей;None;Ford Falcon FG-X;1'11.5039;149.026
8;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG-X;1'11.9327;148.138
9;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;None;None
10;18;Ли Холдсуорт Карл Райндлер;None;Holden Commodore VF;None;None
11;15;Рик Келли Дэвид Уолл;None;Nissan Altima;1'11.0627;149.952
12;14;Тим Слейд Андре Хаймгартнер;None;Holden Commodore VF;1'11.1643;149.738
13;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG-X;1'11.1818;149.701
14;8;Ник Перкат Маколи Джонс;None;Holden Commodore VF;1'11.1837;149.697
15;7;Тодд Келли Джек ЛеБрок;None;Nissan Altima;1'11.2065;149.649
16;56;Джейсон Брайт Гарри Джекобсон;None;Ford Falcon FG-X;1'11.2510;149.555
17;2;Скотт Пай Уоррен Лафф;None;Holden Commodore VF;1'11.2731;149.509
18;19;Уилл Дэвисон Джонатон Уэбб;None;Holden Commodore VF;1'11.4149;149.212
19;99;Дейл Вуд Крис Питер;None;Holden Commodore VF;1'11.4273;149.186
20;34;Джеймс Моффат Ричард Маскат;None;Holden Commodore VF;1'11.2963;149.460
21;33;Гарт Тандер Джеймс Голдинг;None;Holden Commodore VF;1'11.4303;149.180
22;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG/X;1'11.5090;149.016
23;3;Аарен Рассел Таз Дуглас;None;Holden Commodore VF;1'11.5450;148.941
24;21;Тим Бланкард Тодд Хазелвуд;None;Holden Commodore VF;1'11.8879;148.230
25;62;Алекс Рулло Алекс Дэвисон;None;Holden Commodore VF;1'12.5173;146.944
26;78;Симона де Сильвестро Дэвид Расселл;None;Nissan Altima;1'12.7029;146.569
