Номер;Гонщик;None;Команда;Машина;Мотор;Шины
1;Марк Винтерботтом Дин Кэнто;None;Tickford Racing;Ford Falcon FG/X;Ford V8-5;Dunlop
2;Гарт Тандер Уоррен Лафф;None;Holden Racing Team;Holden Commodore VF;Holden V8-5;Dunlop
3;Андре Хаймгартнер Аарен Рассел;None;23Red Racing;Holden Commodore VF;Holden V8-5;Dunlop
4;Крис ван дер Дрифт Shae Davies;None;Plus Fitness Racing;Holden Commodore VF;Holden V8-5;Dunlop
6;Кэмерон Уотерс Джек ЛеБрок;None;Tickford Racing;Ford Falcon FG/X;Ford V8-5;Dunlop
7;Тодд Келли Мэтт Кэмпбелл;None;Nissan Motorsport (Австралия);Nissan Altima L33;Nissan V8-5;Dunlop
8;Джейсон Брайт Эндрю Джонс;None;Team BOC;Holden Commodore VF;Holden V8-5;Dunlop
9;Дэвид Рейнольдс Крэг Берд;None;Erebus Motorsport Penrite;Holden Commodore VF;Holden V8-5;Dunlop
12;Фабиан Култхард Люк Юлден;None;Team Penske;Ford Falcon FG/X;Ford V8-5;Dunlop
14;Тим Слейд Эш Уолш;None;Brad Jones Racing;Holden Commodore VF;Holden V8-5;Dunlop
15;Рик Келли Расселл Инголл;None;Nissan Motorsport (Австралия);Nissan Altima L33;Nissan V8-5;Dunlop
17;Скотт Пай Тони Д'Альберто;None;Team Penske;Ford Falcon FG/X;Ford V8-5;Dunlop
18;Ли Холдсуорт Карл Райндлер;None;Team 18;Holden Commodore VF;Holden V8-5;Dunlop
19;Уилл Дэвисон Джонатон Уэбб;None;Team Darrell Lea STIX;Holden Commodore VF;Holden V8-5;Dunlop
21;Тим Бланкард Маколи Джонс;None;Team Cooldrive;Holden Commodore VF;Holden V8-5;Dunlop
22;Джеймс Кортни Джек Перкинс;None;Holden Racing Team;Holden Commodore VF;Holden V8-5;Dunlop
23;Майкл Карузо Дин Фьоре;None;Nissan Motorsport (Австралия);Nissan Altima L33;Nissan V8-5;Dunlop
33;Скотт Маклафлин Дэвид Уолл;None;Garry Rogers Motorsport;Volvo S60;Volvo V8-5;Dunlop
34;Джеймс Моффат Джеймс Голдинг;None;Garry Rogers Motorsport;Volvo S60;Volvo V8-5;Dunlop
55;Час Мостер Steven Owen;None;Tickford Racing;Ford Falcon FG/X;Ford V8-5;Dunlop
88;Джейми Уинкап Пол Дамбрелл;None;Red Bull Racing Australia;Holden Commodore VF;Holden V8-5;Dunlop
96;Дейл Вуд Дэвид Расселл;None;GB Galvanizing Racing;Nissan Altima L33;Nissan V8-5;Dunlop
97;Шейн ван Гисберген Александр Према;None;Red Bull Racing Australia;Holden Commodore VF;Holden V8-5;Dunlop
111;Крис Питер Ричи Стэнэвей;None;Super Black Racing;Ford Falcon FG/X;Ford V8-5;Dunlop
222;Ник Перкат Кэмерон Макконвиль;None;23Red Racing;Holden Commodore VF;Holden V8-5;Dunlop
360;Симона де Сильвестро Рене Грейси;None;Harvey Norman Supergirls;Nissan Altima L33;Nissan V8-5;Dunlop
888;Крэг Лаундес Стив Ричардс;None;Team Vortex;Holden Commodore VF;Holden V8-5;Dunlop
