Круги лидирования;Гонщик
1 - 20;Джейми Уинкап Пол Дамбрелл
21 - 21;Час Мостер Steven Owen
22 - 22;Скотт Пай Тони Д'Альберто
23 - 42;Джейми Уинкап Пол Дамбрелл
43 - 45;Скотт Пай Тони Д'Альберто
46 - 79;Джейми Уинкап Пол Дамбрелл
80 - 81;Скотт Маклафлин Дэвид Уолл
82 - 109;Джейми Уинкап Пол Дамбрелл
110 - 115;Скотт Пай Тони Д'Альберто
116 - 136;Джейми Уинкап Пол Дамбрелл
137 - 151;Фабиан Култхард Люк Юлден
152 - 161;Джейми Уинкап Пол Дамбрелл
