Позиция;#;Гонщик;None;Машина;Время;км/ч
1;88;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore VF;2'05.4263;178.326
2;33;Скотт Маклафлин Дэвид Уолл;None;Volvo S60;2'05.4915;178.233
3;55;Час Мостер Steven Owen;None;Ford Falcon FG/X;2'05.5268;178.183
4;12;Фабиан Култхард Люк Юлден;None;Ford Falcon FG/X;2'05.6726;177.976
5;14;Тим Слейд Эш Уолш;None;Holden Commodore VF;2'05.8568;177.716
6;23;Майкл Карузо Дин Фьоре;None;Nissan Altima L33;2'05.9167;177.631
7;97;Шейн ван Гисберген Александр Према;None;Holden Commodore VF;2'06.2550;177.155
8;2;Гарт Тандер Уоррен Лафф;None;Holden Commodore VF;2'06.5538;176.737
9;17;Скотт Пай Тони Д'Альберто;None;Ford Falcon FG/X;2'06.5557;176.734
10;1;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG/X;2'08.2615;174.384
11;8;Джейсон Брайт Эндрю Джонс;None;Holden Commodore VF;2'05.6666;177.985
12;111;Крис Питер Ричи Стэнэвей;None;Ford Falcon FG/X;2'05.6806;177.965
13;6;Кэмерон Уотерс Джек ЛеБрок;None;Ford Falcon FG/X;2'05.7948;177.803
14;9;Дэвид Рейнольдс Крэг Берд;None;Holden Commodore VF;2'05.8381;177.742
15;18;Ли Холдсуорт Карл Райндлер;None;Holden Commodore VF;2'05.9417;177.596
16;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore VF;2'05.9937;177.523
17;19;Уилл Дэвисон Джонатон Уэбб;None;Holden Commodore VF;2'05.9941;177.522
18;96;Дейл Вуд Дэвид Расселл;None;Nissan Altima L33;2'06.0319;177.469
19;7;Тодд Келли Мэтт Кэмпбелл;None;Nissan Altima L33;2'06.0573;177.433
20;15;Рик Келли Расселл Инголл;None;Nissan Altima L33;2'06.1815;177.258
21;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore VF;2'06.2289;177.192
22;222;Ник Перкат Кэмерон Макконвиль;None;Holden Commodore VF;2'06.2708;177.133
23;34;Джеймс Моффат Джеймс Голдинг;None;Volvo S60;2'06.2778;177.123
24;21;Тим Бланкард Маколи Джонс;None;Holden Commodore VF;2'06.4516;176.880
25;3;Андре Хаймгартнер Аарен Рассел;None;Holden Commodore VF;2'07.1142;175.958
26;360;Симона де Сильвестро Рене Грейси;None;Nissan Altima L33;2'09.6682;172.492
27;4;Крис ван дер Дрифт Shae Davies;None;Holden Commodore VF;2'19.3845;160.468
