Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG-X;1'12.0731;142.854
2;88;Джейми Уинкап;None;Holden Commodore VF;1'12.2864;142.433
3;55;Час Мостер;None;Ford Falcon FG-X;1'12.3370;142.333
4;6;Кэмерон Уотерс;None;Ford Falcon FG-X;1'12.3753;142.258
5;97;Шейн ван Гисберген;None;Holden Commodore VF;1'12.3969;142.216
6;5;Марк Винтерботтом;None;Ford Falcon FG-X;1'12.4221;142.166
7;8;Ник Перкат;None;Holden Commodore VF;1'12.4368;142.137
8;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'12.5555;141.905
9;12;Фабиан Култхард;None;Ford Falcon FG-X;1'12.5586;141.899
10;23;Майкл Карузо;None;Nissan Altima;1'12.6316;141.756
11;14;Тим Слейд;None;Holden Commodore VF;1'12.6465;141.727
12;18;Ли Холдсуорт;None;Holden Commodore VF;1'12.6467;141.727
13;33;Гарт Тандер;None;Holden Commodore VF;1'12.6505;141.719
14;2;Скотт Пай;None;Holden Commodore VF;1'12.6513;141.718
15;7;Тодд Келли;None;Nissan Altima;1'12.6696;141.682
16;22;Джеймс Кортни;None;Holden Commodore VF;1'12.6803;141.661
17;34;Джеймс Моффат;None;Holden Commodore VF;1'12.7074;141.608
18;15;Рик Келли;None;Nissan Altima;1'12.7396;141.546
19;888;Крэг Лаундес;None;Holden Commodore VF;1'12.7589;141.508
20;99;Дейл Вуд;None;Holden Commodore VF;1'12.7877;141.452
21;56;Джейсон Брайт;None;Ford Falcon FG-X;1'12.8433;141.344
22;19;Уилл Дэвисон;None;Holden Commodore VF;1'12.8609;141.310
23;21;Тим Бланкард;None;Holden Commodore VF;1'13.2050;140.646
24;78;Симона де Сильвестро;None;Nissan Altima;1'13.5021;140.077
25;3;Аарен Рассел;None;Holden Commodore VF;1'13.6754;139.748
26;62;Алекс Рулло;None;Holden Commodore VF;1'13.7171;139.669
