Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;888;Джейми Уинкап Крэг Лаундес;None;Holden Commodore ZB;102;2:06'57.9470;None;None;None;150
2;None;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;102;2:06'58.4677;0.5207;0.5207;None;138
3;None;17;Скотт Маклафлин Александр Према;None;Ford Mustang GT;102;2:07'00.6377;2.6907;2.1700;None;129
4;None;6;Кэмерон Уотерс Майкл Карузо;None;Ford Mustang GT;102;2:07'01.2906;3.3436;0.6529;None;120
5;None;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;102;2:07'02.8373;4.8903;1.5467;None;111
6;None;5;Ли Холдсуорт Томас Рэндл;None;Ford Mustang GT;102;2:07'05.6125;7.6655;2.7752;None;102
7;None;23;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;102;2:07'11.4629;13.5159;5.8504;None;96
8;None;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;102;2:07'11.8428;13.8958;0.3799;None;90
9;None;12;Фабиан Култхард Тони Д'Альберто;None;Ford Mustang GT;102;2:07'18.2092;20.2622;6.3664;None;84
10;None;15;Рик Келли Дейл Вуд;None;Nissan Altima;102;2:07'18.8914;20.9444;0.6822;None;78
11;None;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;102;2:07'21.7816;23.8346;2.8902;None;72
12;None;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;102;2:07'38.1577;40.2107;16.3761;None;69
13;None;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;101;2:07'09.2577;1 Lap;1 Lap;None;66
14;None;8;Ник Перкат Тим Бланкард;None;Holden Commodore ZB;101;2:07'10.1829;1 Lap;0.9252;None;63
15;None;3;Гарри Джекобсон Дин Фьоре;None;Nissan Altima;101;2:07'22.5257;1 Lap;12.3428;None;60
16;None;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;101;2:07'23.3620;1 Lap;0.8363;None;57
17;None;35;Тодд Хазелвуд Джек Смит;None;Holden Commodore ZB;100;2:07'22.7034;2 Laps;1 Lap;None;54
18;None;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;100;2:07'23.6189;2 Laps;0.9155;None;51
19;None;21;Маколи Джонс Дин Кэнто;None;Holden Commodore ZB;100;2:07'24.0147;2 Laps;0.3958;None;48
20;None;56;Brodie Kostecki Джейк Костеки;None;Holden Commodore ZB;100;2:07'26.5537;2 Laps;2.5390;None;45
21;None;18;Марк Винтерботтом Стив Ричардс;None;Holden Commodore ZB;100;2:07'45.6976;2 Laps;19.1439;None;42
22;None;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore ZB;99;2:07'26.1985;3 Laps;1 Lap;None;39
23;None;33;Ричи Стэнэвей Крис Питер;None;Holden Commodore ZB;98;2:07'46.9506;4 Laps;1 Lap;None;36
None;None;7;Андре Хаймгартнер Брайс Фуллвуд;None;Nissan Altima;98;2:03'25.1349;4 Laps;None;Сход;None
