Позиция;#;Гонщик;None;Машина;Время;км/ч
1;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;1'10.6975;150.726
2;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;1'10.7085;150.703
3;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;1'10.7148;150.689
4;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;1'10.7369;150.642
5;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;1'10.7985;150.511
6;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;1'10.8044;150.499
7;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;1'11.0726;149.931
8;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;1'10.3264;151.522
9;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;1'10.4444;151.268
10;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;1'10.8803;150.337
11;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;1'10.9846;150.117
12;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;1'10.9944;150.096
13;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;1'10.9963;150.092
14;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;1'11.0109;150.061
15;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;1'11.0146;150.053
16;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;1'11.1140;149.843
17;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;1'11.1540;149.759
18;15;Рик Келли Гарри Джекобсон;None;Nissan Altima;1'11.1741;149.717
19;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;1'11.2103;149.641
20;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;1'11.3139;149.423
21;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;1'11.3176;149.416
22;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;1'11.4901;149.055
23;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;1'11.5166;149.000
24;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;1'11.7308;148.555
25;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;1'12.0493;147.898
26;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;None;None
