Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG X;1'10.3743;151.418
2;1;Джейми Уинкап Пол Дамбрелл;None;Holden Commodore ZB;1'10.5831;150.970
3;9;Люк Юлден Дэвид Рейнольдс;None;Holden Commodore ZB;1'10.5845;150.967
4;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG X;1'10.7303;150.656
5;55;Час Мостер Джеймс Моффат;None;Ford Falcon FG X;1'10.7851;150.540
6;23;Майкл Карузо Дин Фьоре;None;Nissan Altima;1'10.8403;150.422
7;8;Ник Перкат Маколи Джонс;None;Holden Commodore ZB;1'10.9715;150.144
8;6;Кэмерон Уотерс Дэвид Расселл;None;Ford Falcon FG X;1'11.3938;149.256
9;97;Шейн ван Гисберген Эрл Бамбер;None;Holden Commodore ZB;1'10.1125;151.984
10;25;Джеймс Кортни Джек Перкинс;None;Holden Commodore ZB;1'10.5889;150.958
11;11;Рик Келли Гарри Джекобсон;None;Nissan Altima;1'10.7146;150.690
12;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG X;1'10.7547;150.604
13;18;Ли Холдсуорт Джейсон Брайт;None;Holden Commodore ZB;1'10.7683;150.575
14;14;Тим Слейд Эш Уолш;None;Holden Commodore ZB;1'10.8056;150.496
15;230;Уилл Дэвисон Алекс Дэвисон;None;Ford Falcon FG X;1'10.8270;150.451
16;888;Крэг Лаундес Стив Ричардс;None;Holden Commodore ZB;1'10.8566;150.388
17;99;Антон де Паскуале Уилл Браун;None;Holden Commodore ZB;1'10.9166;150.261
18;7;Андре Хаймгартнер Аарен Рассел;None;Nissan Altima;1'10.9205;150.252
19;33;Гарт Тандер Крис Питер;None;Holden Commodore ZB;1'10.9297;150.233
20;2;Скотт Пай Уоррен Лафф;None;Holden Commodore ZB;1'10.9407;150.209
21;34;Джеймс Голдинг Ричард Маскат;None;Holden Commodore ZB;1'10.9449;150.201
22;19;Джек ЛеБрок Джонатон Уэбб;None;Holden Commodore ZB;1'11.0831;149.909
23;78;Симона де Сильвестро Алекс Рулло;None;Nissan Altima;1'11.4295;149.182
24;56;Ричи Стэнэвей Steven Owen;None;Ford Falcon FG X;1'11.5044;149.025
25;35;Тодд Хазелвуд Брайс Фуллвуд;None;Ford Falcon FG X;1'11.5626;148.904
26;21;Тим Бланкард Дейл Вуд;None;Holden Commodore ZB;1'11.6121;148.801
