Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;88;Джейми Уинкап;None;Holden Commodore ZB;5;1'12.3105;None;None;142.385
2;25;Час Мостер;None;Holden Commodore ZB;5;1'12.4418;0.1313;0.1313;142.127
3;44;Джеймс Кортни;None;Ford Mustang GT;5;1'12.4997;0.1892;0.0579;142.014
4;6;Кэмерон Уотерс;None;Ford Mustang GT;5;1'12.5067;0.1962;0.0070;142.000
5;9;Дэвид Рейнольдс;None;Holden Commodore ZB;5;1'12.5112;0.2007;0.0045;141.991
6;99;Антон де Паскуале;None;Holden Commodore ZB;5;1'12.5168;0.2063;0.0056;141.980
7;97;Шейн ван Гисберген;None;Holden Commodore ZB;5;1'12.5271;0.2166;0.0103;141.960
8;55;Джек ЛеБрок;None;Ford Mustang GT;5;1'12.5312;0.2207;0.0041;141.952
9;8;Ник Перкат;None;Holden Commodore ZB;5;1'12.5391;0.2286;0.0079;141.937
10;5;Ли Холдсуорт;None;Ford Mustang GT;5;1'12.5532;0.2427;0.0141;141.909
11;35;Гарри Джекобсон;None;Holden Commodore ZB;5;1'12.6487;0.3382;0.0955;141.723
12;3;Маколи Джонс;None;Holden Commodore ZB;5;1'12.6969;0.3864;0.0482;141.629
13;17;Скотт Маклафлин;None;Ford Mustang GT;5;1'12.7000;0.3895;0.0031;141.623
14;18;Марк Винтерботтом;None;Holden Commodore ZB;5;1'12.7035;0.3930;0.0035;141.616
15;12;Фабиан Култхард;None;Ford Mustang GT;5;1'12.7692;0.4587;0.0657;141.488
16;2;Брайс Фуллвуд;None;Holden Commodore ZB;5;1'12.7885;0.4780;0.0193;141.450
17;14;Тодд Хазелвуд;None;Holden Commodore ZB;5;1'12.7889;0.4784;0.0004;141.450
18;7;Андре Хаймгартнер;None;Ford Mustang GT;5;1'12.8238;0.5133;0.0349;141.382
19;20;Скотт Пай;None;Holden Commodore ZB;4;1'12.8612;0.5507;0.0374;141.309
20;34;Зейн Годдард;None;Holden Commodore ZB;5;1'13.0734;0.7629;0.2122;140.899
21;22;Крис Питер;None;Holden Commodore ZB;4;1'13.1010;0.7905;0.0276;140.846
22;4;Джек Смит;None;Holden Commodore ZB;5;1'13.1228;0.8123;0.0218;140.804
23;15;Рик Келли;None;Ford Mustang GT;5;1'13.3895;1.0790;0.2667;140.292
24;19;Алекс Дэвисон;None;Holden Commodore ZB;5;1'13.4513;1.1408;0.0618;140.174
