Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'12.1793;142.644
2;6;Кэмерон Уотерс;None;Ford Mustang GT;1'12.2022;142.599
3;8;Ник Перкат;None;Holden Commodore ZB;1'12.2225;142.559
4;88;Джейми Уинкап;None;Holden Commodore ZB;1'12.2600;142.485
5;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'12.2792;142.447
6;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'12.3021;142.402
7;5;Ли Холдсуорт;None;Ford Mustang GT;1'12.4204;142.169
8;18;Марк Винтерботтом;None;Holden Commodore ZB;1'12.4244;142.162
9;99;Антон де Паскуале;None;Holden Commodore ZB;1'12.4293;142.152
10;25;Час Мостер;None;Holden Commodore ZB;1'12.4297;142.151
11;55;Джек ЛеБрок;None;Ford Mustang GT;1'12.4311;142.148
12;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'12.5267;141.961
13;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'12.5297;141.955
14;44;Джеймс Кортни;None;Ford Mustang GT;1'12.5699;141.877
15;20;Скотт Пай;None;Holden Commodore ZB;1'12.5878;141.842
16;12;Фабиан Култхард;None;Ford Mustang GT;1'12.6071;141.804
17;3;Маколи Джонс;None;Holden Commodore ZB;1'12.6858;141.650
18;35;Гарри Джекобсон;None;Holden Commodore ZB;1'12.6906;141.641
19;7;Андре Хаймгартнер;None;Ford Mustang GT;1'12.6917;141.639
20;34;Зейн Годдард;None;Holden Commodore ZB;1'12.7639;141.498
21;15;Рик Келли;None;Ford Mustang GT;1'12.8693;141.294
22;19;Алекс Дэвисон;None;Holden Commodore ZB;1'12.9509;141.136
23;4;Джек Смит;None;Holden Commodore ZB;1'13.1121;140.824
24;22;Крис Питер;None;Holden Commodore ZB;1'13.2035;140.649
