Позиция;#;Гонщик;None;Машина;Время;км/ч
1;88;Джейми Уинкап;None;Holden Commodore ZB;1'12.3105;142.385
2;25;Час Мостер;None;Holden Commodore ZB;1'12.4418;142.127
3;44;Джеймс Кортни;None;Ford Mustang GT;1'12.4997;142.014
4;6;Кэмерон Уотерс;None;Ford Mustang GT;1'12.5067;142.000
5;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'12.5112;141.991
6;99;Антон де Паскуале;None;Holden Commodore ZB;1'12.5168;141.980
7;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'12.5271;141.960
8;55;Джек ЛеБрок;None;Ford Mustang GT;1'12.5312;141.952
9;8;Ник Перкат;None;Holden Commodore ZB;1'12.5391;141.937
10;5;Ли Холдсуорт;None;Ford Mustang GT;1'12.5532;141.909
11;35;Гарри Джекобсон;None;Holden Commodore ZB;1'12.6487;141.723
12;3;Маколи Джонс;None;Holden Commodore ZB;1'12.6969;141.629
13;17;Скотт Маклафлин;None;Ford Mustang GT;1'12.7000;141.623
14;18;Марк Винтерботтом;None;Holden Commodore ZB;1'12.7035;141.616
15;12;Фабиан Култхард;None;Ford Mustang GT;1'12.7692;141.488
16;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'12.7885;141.450
17;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'12.7889;141.450
18;7;Андре Хаймгартнер;None;Ford Mustang GT;1'12.8238;141.382
19;20;Скотт Пай;None;Holden Commodore ZB;1'12.8612;141.309
20;34;Зейн Годдард;None;Holden Commodore ZB;1'13.0734;140.899
21;22;Крис Питер;None;Holden Commodore ZB;1'13.1010;140.846
22;4;Джек Смит;None;Holden Commodore ZB;1'13.1228;140.804
23;15;Рик Келли;None;Ford Mustang GT;1'13.3895;140.292
24;19;Алекс Дэвисон;None;Holden Commodore ZB;1'13.4513;140.174
