Позиция;#;Гонщик;None;Машина;Время;км/ч
1;88;Джейми Уинкап;None;Holden Commodore ZB;1'12.0247;142.950
2;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'12.1782;142.646
3;25;Час Мостер;None;Holden Commodore ZB;1'12.3011;142.404
4;6;Кэмерон Уотерс;None;Ford Mustang GT;1'12.3842;142.240
5;99;Антон де Паскуале;None;Holden Commodore ZB;1'12.4391;142.133
6;12;Фабиан Култхард;None;Ford Mustang GT;1'12.4479;142.115
7;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'12.4971;142.019
8;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'12.6855;141.651
9;44;Джеймс Кортни;None;Ford Mustang GT;1'12.7333;141.558
10;8;Ник Перкат;None;Holden Commodore ZB;1'12.7756;141.475
11;5;Ли Холдсуорт;None;Ford Mustang GT;1'12.5575;141.901
12;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'12.5694;141.877
13;18;Марк Винтерботтом;None;Holden Commodore ZB;1'12.6119;141.794
14;35;Гарри Джекобсон;None;Holden Commodore ZB;1'12.6597;141.701
15;20;Скотт Пай;None;Holden Commodore ZB;1'12.6790;141.664
16;17;Скотт Маклафлин;None;Ford Mustang GT;1'12.7319;141.560
17;19;Алекс Дэвисон;None;Holden Commodore ZB;1'12.7338;141.557
18;15;Рик Келли;None;Ford Mustang GT;1'12.7444;141.536
19;7;Андре Хаймгартнер;None;Ford Mustang GT;1'12.7489;141.527
20;3;Маколи Джонс;None;Holden Commodore ZB;1'12.9445;141.148
21;4;Джек Смит;None;Holden Commodore ZB;1'12.9935;141.053
22;34;Зейн Годдард;None;Holden Commodore ZB;1'13.0377;140.968
23;22;Крис Питер;None;Holden Commodore ZB;1'13.1121;140.824
24;55;Джек ЛеБрок;None;Ford Mustang GT;None;None
