Позиция;#;Гонщик;None;Машина;Время;км/ч
1;1;Джейми Уинкап;None;Holden Commodore ZB;1'02.4719;167.691
2;17;Скотт Маклафлин;None;Ford Falcon FG X;1'02.4877;167.648
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'02.6060;167.332
4;55;Час Мостер;None;Ford Falcon FG X;1'02.6550;167.201
5;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'02.6659;167.172
6;12;Фабиан Култхард;None;Ford Falcon FG X;1'02.7454;166.960
7;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'02.7961;166.825
8;99;Антон де Паскуале;None;Holden Commodore ZB;1'02.9044;166.538
9;6;Кэмерон Уотерс;None;Ford Falcon FG X;1'02.9873;166.319
10;7;Андре Хаймгартнер;None;Nissan Altima;1'03.4281;165.163
11;888;Крэг Лаундес;None;Holden Commodore ZB;1'02.9226;166.490
12;14;Тим Слейд;None;Holden Commodore ZB;1'02.9230;166.489
13;8;Ник Перкат;None;Holden Commodore ZB;1'03.0480;166.159
14;5;Марк Винтерботтом;None;Ford Falcon FG X;1'03.0506;166.152
15;21;Тим Бланкард;None;Holden Commodore ZB;1'03.1316;165.939
16;78;Симона де Сильвестро;None;Nissan Altima;1'03.1411;165.914
17;15;Рик Келли;None;Nissan Altima;1'03.1506;165.889
18;18;Ли Холдсуорт;None;Holden Commodore ZB;1'03.1936;165.776
19;23;Майкл Карузо;None;Nissan Altima;1'03.1995;165.760
20;2;Скотт Пай;None;Holden Commodore ZB;1'03.2345;165.669
21;25;Джеймс Кортни;None;Holden Commodore ZB;1'03.2491;165.630
22;230;Уилл Дэвисон;None;Ford Falcon FG X;1'03.3083;165.475
23;33;Гарт Тандер;None;Holden Commodore ZB;1'03.3175;165.451
24;34;Джеймс Голдинг;None;Holden Commodore ZB;1'03.3603;165.340
25;19;Джек ЛеБрок;None;Holden Commodore ZB;1'03.4598;165.080
26;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'03.8649;164.033
