Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Falcon FG X;1'08.5014;163.967
2;12;Фабиан Култхард;None;Ford Falcon FG X;1'08.6923;163.511
3;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'08.7217;163.441
4;15;Рик Келли;None;Nissan Altima;1'08.7522;163.369
5;55;Час Мостер;None;Ford Falcon FG X;1'08.6718;163.560
6;1;Джейми Уинкап;None;Holden Commodore ZB;1'08.7657;163.337
7;23;Майкл Карузо;None;Nissan Altima;1'08.9264;162.956
8;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'08.9565;162.885
9;8;Ник Перкат;None;Holden Commodore ZB;1'08.9905;162.805
10;888;Крэг Лаундес;None;Holden Commodore ZB;1'09.0023;162.777
11;33;Гарт Тандер;None;Holden Commodore ZB;1'09.0228;162.728
12;25;Джеймс Кортни;None;Holden Commodore ZB;1'09.0563;162.649
13;120;Уилл Дэвисон;None;Ford Falcon FG X;1'09.0614;162.637
14;56;Ричи Стэнэвей;None;Ford Falcon FG X;1'09.0956;162.557
15;14;Тим Слейд;None;Holden Commodore ZB;1'09.1609;162.403
16;78;Симона де Сильвестро;None;Nissan Altima;1'09.1703;162.381
17;7;Андре Хаймгартнер;None;Nissan Altima;1'09.1848;162.347
18;2;Скотт Пай;None;Holden Commodore ZB;1'09.1885;162.339
19;34;Джеймс Голдинг;None;Holden Commodore ZB;1'09.2142;162.278
20;5;Марк Винтерботтом;None;Ford Falcon FG X;1'09.2557;162.181
21;6;Кэмерон Уотерс;None;Ford Falcon FG X;1'09.2823;162.119
22;99;Антон де Паскуале;None;Holden Commodore ZB;1'09.3080;162.059
23;19;Джек ЛеБрок;None;Holden Commodore ZB;1'09.3552;161.948
24;35;Тодд Хазелвуд;None;Ford Falcon FG X;1'09.4364;161.759
25;18;Ли Холдсуорт;None;Holden Commodore ZB;1'09.5701;161.448
26;21;Тим Бланкард;None;Holden Commodore ZB;1'09.5843;161.415
27;42;Курт Костеки;None;Holden Commodore ZB;1'09.7521;161.027
