Номер;Гонщик;None;Команда;Машина;Мотор;Шины
2;Скотт Пай Уоррен Лафф;None;Walkinshaw Andretti United;Holden Commodore VF;Holden V8-5;Dunlop
3;Аарен Рассел Таз Дуглас;None;Plus Fitness Racing;Holden Commodore VF;Holden V8-5;Dunlop
5;Марк Винтерботтом Дин Кэнто;None;Tickford Racing;Ford Falcon FG-X;Ford V8-5;Dunlop
6;Кэмерон Уотерс Ричи Стэнэвей;None;Tickford Racing;Ford Falcon FG-X;Ford V8-5;Dunlop
8;Ник Перкат Маколи Джонс;None;Brad Jones Racing;Holden Commodore VF;Holden V8-5;Dunlop
9;Дэвид Рейнольдс Люк Юлден;None;Erebus Motorsport;Holden Commodore VF;Holden V8-5;Dunlop
12;Фабиан Култхард Тони Д'Альберто;None;DJR Team Penske;Ford Falcon FG/X;Ford V8-5;Dunlop
14;Тим Слейд Андре Хаймгартнер;None;Brad Jones Racing;Holden Commodore VF;Holden V8-5;Dunlop
15;Рик Келли Дэвид Уолл;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
17;Скотт Маклафлин Александр Према;None;DJR Team Penske;Ford Falcon FG-X;Ford V8-5;Dunlop
18;Ли Холдсуорт Карл Райндлер;None;Team 18;Holden Commodore VF;Holden V8-5;Dunlop
19;Уилл Дэвисон Джонатон Уэбб;None;Tekno Autosports;Holden Commodore VF;Holden V8-5;Dunlop
20;Тодд Келли Джек ЛеБрок;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
21;Тим Бланкард Тодд Хазелвуд;None;Brad Jones Racing;Holden Commodore VF;Holden V8-5;Dunlop
22;Джеймс Кортни Джек Перкинс;None;Walkinshaw Andretti United;Holden Commodore VF;Holden V8-5;Dunlop
23;Майкл Карузо Дин Фьоре;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
33;Гарт Тандер Джеймс Голдинг;None;Garry Rogers Motorsport;Holden Commodore VF;Holden V8-5;Dunlop
34;Джеймс Моффат Ричард Маскат;None;Garry Rogers Motorsport;Holden Commodore VF;Holden V8-5;Dunlop
55;Час Мостер Steven Owen;None;Tickford Racing;Ford Falcon FG-X;Ford V8-5;Dunlop
56;Джейсон Брайт Гарри Джекобсон;None;Tickford Racing;Ford Falcon FG-X;Ford V8-5;Dunlop
62;Алекс Рулло Алекс Дэвисон;None;Repair Management Aust Racing;Holden Commodore VF;Holden V8-5;Dunlop
78;Симона де Сильвестро Дэвид Расселл;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
88;Джейми Уинкап Пол Дамбрелл;None;Triple Eight Race Engineering;Holden Commodore VF;Holden V8-5;Dunlop
97;Шейн ван Гисберген Мэтт Кэмпбелл;None;Triple Eight Race Engineering;Holden Commodore VF;Holden V8-5;Dunlop
99;Дейл Вуд Крис Питер;None;Erebus Motorsport;Holden Commodore VF;Holden V8-5;Dunlop
888;Крэг Лаундес Стив Ричардс;None;Triple Eight Race Engineering;Holden Commodore VF;Holden V8-5;Dunlop
