Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин Александр Према;None;Ford Falcon FG-X;1;2'03.8312;None;None;180.623
2;9;Дэвид Рейнольдс Люк Юлден;None;Holden Commodore VF;1;2'04.2746;0.4434;0.4434;179.978
3;5;Марк Винтерботтом Дин Кэнто;None;Ford Falcon FG-X;1;2'04.4988;0.6676;0.2242;179.654
4;55;Час Мостер Steven Owen;None;Ford Falcon FG-X;1;2'04.5875;0.7563;0.0887;179.526
5;97;Шейн ван Гисберген Мэтт Кэмпбелл;None;Holden Commodore VF;1;2'04.6688;0.8376;0.0813;179.409
6;6;Кэмерон Уотерс Ричи Стэнэвей;None;Ford Falcon FG-X;1;2'04.6802;0.8490;0.0114;179.393
7;12;Фабиан Култхард Тони Д'Альберто;None;Ford Falcon FG/X;1;2'04.9693;1.1381;0.2891;178.978
8;56;Джейсон Брайт Гарри Джекобсон;None;Ford Falcon FG-X;1;2'05.2277;1.3965;0.2584;178.609
9;33;Гарт Тандер Джеймс Голдинг;None;Holden Commodore VF;1;2'05.3261;1.4949;0.0984;178.468
10;22;Джеймс Кортни Джек Перкинс;None;Holden Commodore VF;1;2'05.4890;1.6578;0.1629;178.237
