Позиция;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч
1;66;Джош Кук;None;None;8;1'16.500;None;None;110.871
2;80;Том Ингрэм;None;None;8;1'16.622;0.122;0.122;110.694
3;1;Эшли Саттон;None;None;11;1'16.625;0.125;0.003;110.690
4;24;Джейк Хилл;None;None;8;1'16.808;0.308;0.183;110.426
5;2;Колин Теркингтон;None;None;7;1'16.864;0.364;0.056;110.346
6;11;Джейсон Плейто;None;None;10;1'17.025;0.525;0.161;110.115
7;27;Дэн Кэммиш;None;None;8;1'17.088;0.588;0.063;110.025
8;32;Daniel Rowbottom;None;None;9;1'17.113;0.613;0.025;109.989
9;15;Том Олифан;None;None;11;1'17.122;0.622;0.009;109.976
10;12;Стивен Джелли;None;None;8;1'17.222;0.722;0.100;109.834
11;6;Рори Батчер;None;None;8;1'17.317;0.817;0.095;109.699
12;33;Адам Морган;None;None;12;1'17.537;1.037;0.220;109.388
13;48;Олли Джексон;None;None;18;1'17.577;1.077;0.040;109.331
14;16;Айден Моффат;None;None;8;1'17.606;1.106;0.029;109.291
15;4;Sam Osborne;None;None;12;1'17.844;1.344;0.238;108.956
16;123;Даниэль Ллойд;None;None;11;1'17.863;1.363;0.019;108.930
17;3;Том Чилтон;None;None;10;1'17.909;1.409;0.046;108.865
18;23;Sam Smelt;None;None;9;1'17.996;1.496;0.087;108.744
19;41;Carl Boardley;None;None;9;1'18.075;1.575;0.079;108.634
20;31;Джек Гофф;None;None;10;1'18.102;1.602;0.027;108.596
21;40;Арон Смит;None;None;15;1'18.263;1.763;0.161;108.373
22;62;Рик Парфитт-мл.;None;None;10;1'18.380;1.880;0.117;108.211
23;96;Jack Butel;None;None;17;1'18.416;1.916;0.036;108.162
24;99;Jade Edwards;None;None;17;1'18.623;2.123;0.207;107.877
25;88;Глинн Джедди;None;None;9;1'18.681;2.181;0.058;107.797
26;44;Энди Нити;None;None;7;1'18.930;2.430;0.249;107.457
27;28;Николас Хэмилтон;None;None;14;1'19.427;2.927;0.497;106.785
