Позиция;None;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч;Сход;Очки
1;None;None;Джош Кук;None;None;15;23'06.411;None;None;91.76;None;22
2;None;None;Дэн Кэммиш;None;None;15;23'06.645;0.234;0.234;91.74;None;17
3;None;None;Джейк Хилл;None;None;15;23'08.036;1.625;1.391;91.65;None;15
4;None;None;Daniel Rowbottom;None;None;15;23'11.066;4.655;3.030;91.45;None;13
5;None;None;Джейсон Плейто;None;None;15;23'11.387;4.976;0.321;91.43;None;11
6;None;None;Том Ингрэм;None;None;15;23'13.372;6.961;1.985;91.30;None;10
7;None;None;Колин Теркингтон;None;None;15;23'13.714;7.303;0.342;91.28;None;9
8;None;None;Айден Моффат;None;None;15;23'15.702;9.291;1.988;91.15;None;8
9;None;None;Эшли Саттон;None;None;15;23'16.466;10.055;0.764;91.10;None;7
10;None;None;Том Олифан;None;None;15;23'17.822;11.411;1.356;91.01;None;6
11;None;None;Стивен Джелли;None;None;15;23'19.670;13.259;1.848;90.89;None;5
12;None;None;Джек Гофф;None;None;15;23'20.170;13.759;0.500;90.86;None;4
13;None;None;Олли Джексон;None;None;15;23'21.722;15.311;1.552;90.76;None;3
14;None;None;Даниэль Ллойд;None;None;15;23'22.237;15.826;0.515;90.72;None;2
15;None;None;Арон Смит;None;None;15;23'23.355;16.944;1.118;90.65;None;1
16;None;None;Sam Osborne;None;None;15;23'23.951;17.540;0.596;90.61;None;None
17;None;None;Carl Boardley;None;None;15;23'25.962;19.551;2.011;90.48;None;None
18;None;None;Гордон Шедден;None;None;15;23'26.325;19.914;0.363;90.46;None;None
19;None;None;Jack Butel;None;None;15;23'32.656;26.245;6.331;90.06;None;None
20;None;None;Sam Smelt;None;None;15;23'33.034;26.623;0.378;90.03;None;None
21;None;None;Адам Морган;None;None;15;23'38.496;32.085;5.462;89.68;None;None
22;None;None;Николас Хэмилтон;None;None;15;23'42.342;35.931;3.846;89.44;None;None
None;None;None;Крис Смайли;None;None;14;22'36.491;1 Lap;1 Lap;87.53;None;None
None;dnf;None;Рик Парфитт-мл.;None;None;8;14'20.217;7 Laps;6 Laps;78.87;Сход;None
None;dnf;None;Рори Батчер;None;None;0;None;None;None;None;Сход;None
None;dnf;None;Том Чилтон;None;None;0;None;None;None;None;Сход;None
None;dnf;None;Jade Edwards;None;None;0;None;None;None;None;Сход;None
None;dnf;None;Глинн Джедди;None;None;0;None;None;None;None;Сход;None
None;dnf;None;Энди Нити;None;None;0;None;None;None;None;Сход;None
