Позиция;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч
1;1;Эшли Саттон;None;None;17;1'20.041;None;None;105.966
2;66;Джош Кук;None;None;13;1'20.090;0.049;0.049;105.901
3;24;Джейк Хилл;None;None;14;1'20.651;0.610;0.561;105.164
4;52;Гордон Шедден;None;None;17;1'20.816;0.775;0.165;104.950
5;11;Джейсон Плейто;None;None;14;1'21.081;1.040;0.265;104.607
6;16;Айден Моффат;None;None;18;1'21.142;1.101;0.061;104.528
7;6;Рори Батчер;None;None;15;1'21.225;1.184;0.083;104.421
8;15;Том Олифан;None;None;15;1'21.259;1.218;0.034;104.377
9;27;Дэн Кэммиш;None;None;15;1'21.285;1.244;0.026;104.344
10;32;Daniel Rowbottom;None;None;20;1'21.302;1.261;0.017;104.322
11;80;Том Ингрэм;None;None;13;1'21.663;1.622;0.361;103.861
12;48;Олли Джексон;None;None;19;1'21.695;1.654;0.032;103.820
13;123;Даниэль Ллойд;None;None;12;1'21.737;1.696;0.042;103.767
14;2;Колин Теркингтон;None;None;16;1'21.891;1.850;0.154;103.572
15;44;Энди Нити;None;None;18;1'22.314;2.273;0.423;103.040
16;33;Адам Морган;None;None;13;1'22.564;2.523;0.250;102.728
17;99;Jade Edwards;None;None;18;1'22.615;2.574;0.051;102.664
18;88;Глинн Джедди;None;None;18;1'22.855;2.814;0.240;102.367
19;12;Стивен Джелли;None;None;17;1'23.096;3.055;0.241;102.070
20;41;Carl Boardley;None;None;15;1'23.258;3.217;0.162;101.871
21;31;Джек Гофф;None;None;14;1'23.269;3.228;0.011;101.858
22;22;Крис Смайли;None;None;15;1'23.273;3.232;0.004;101.853
23;40;Арон Смит;None;None;15;1'23.545;3.504;0.272;101.521
24;4;Sam Osborne;None;None;18;1'23.795;3.754;0.250;101.218
25;23;Sam Smelt;None;None;14;1'24.047;4.006;0.252;100.915
26;62;Рик Парфитт-мл.;None;None;18;1'24.654;4.613;0.607;100.191
27;28;Николас Хэмилтон;None;None;14;1'25.674;5.633;1.020;98.999
28;96;Jack Butel;None;None;16;1'25.997;5.956;0.323;98.627
29;3;Том Чилтон;None;None;5;None;None;None;None
