Позиция;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч
1;66;Джош Кук;None;None;7;1'18.594;None;None;107.917
2;80;Том Ингрэм;None;None;6;1'19.507;0.913;0.913;106.677
3;22;Крис Смайли;None;None;8;1'19.758;1.164;0.251;106.342
4;33;Адам Морган;None;None;8;1'19.944;1.350;0.186;106.094
5;15;Том Олифан;None;None;9;1'20.423;1.829;0.479;105.462
6;24;Джейк Хилл;None;None;9;1'20.494;1.900;0.071;105.369
7;52;Гордон Шедден;None;None;2;1'22.473;3.879;1.979;102.841
8;32;Daniel Rowbottom;None;None;2;1'23.233;4.639;0.760;101.902
9;48;Олли Джексон;None;None;2;1'23.291;4.697;0.058;101.831
10;31;Джек Гофф;None;None;2;1'23.307;4.713;0.016;101.811
11;27;Дэн Кэммиш;None;None;13;1'23.327;4.733;0.020;101.787
12;2;Колин Теркингтон;None;None;2;1'23.368;4.774;0.041;101.737
13;123;Даниэль Ллойд;None;None;2;1'23.438;4.844;0.070;101.652
14;11;Джейсон Плейто;None;None;2;1'23.545;4.951;0.107;101.521
15;40;Арон Смит;None;None;2;1'23.657;5.063;0.112;101.385
16;1;Эшли Саттон;None;None;2;1'23.666;5.072;0.009;101.375
17;16;Айден Моффат;None;None;2;1'24.080;5.486;0.414;100.875
18;12;Стивен Джелли;None;None;3;1'24.356;5.762;0.276;100.545
19;23;Sam Smelt;None;None;3;1'24.507;5.913;0.151;100.366
20;4;Sam Osborne;None;None;2;1'24.544;5.950;0.037;100.322
21;3;Том Чилтон;None;None;3;1'24.584;5.990;0.040;100.274
22;41;Carl Boardley;None;None;3;1'25.284;6.690;0.700;99.451
23;62;Рик Парфитт-мл.;None;None;3;1'25.435;6.841;0.151;99.275
24;96;Jack Butel;None;None;5;1'25.974;7.380;0.539;98.653
25;6;Рори Батчер;None;None;3;1'26.084;7.490;0.110;98.527
26;28;Николас Хэмилтон;None;None;2;1'26.658;8.064;0.574;97.874
