Позиция;None;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч;Сход;Очки
1;None;None;Эшли Саттон;None;None;16;22'47.671;None;None;99.22;None;21
2;None;None;Джейсон Плейто;None;None;16;22'52.460;4.789;4.789;98.87;None;17
3;None;None;Джейк Хилл;None;None;16;22'52.530;4.859;0.070;98.87;None;16
4;None;None;Гордон Шедден;None;None;16;22'52.696;5.025;0.166;98.86;None;13
5;None;None;Даниэль Ллойд;None;None;16;22'57.598;9.927;4.902;98.50;None;11
6;None;None;Колин Теркингтон;None;None;16;22'57.776;10.105;0.178;98.49;None;10
7;None;None;Том Олифан;None;None;16;23'00.883;13.212;3.107;98.27;None;9
8;None;None;Джек Гофф;None;None;16;23'01.685;14.014;0.802;98.21;None;8
9;None;None;Олли Джексон;None;None;16;23'04.048;16.377;2.363;98.04;None;7
10;None;None;Стивен Джелли;None;None;16;23'06.384;18.713;2.336;97.88;None;7
11;None;None;Арон Смит;None;None;16;23'08.992;21.321;2.608;97.70;None;5
12;None;None;Sam Osborne;None;None;16;23'12.633;24.962;3.641;97.44;None;4
13;None;None;Том Чилтон;None;None;16;23'12.859;25.188;0.226;97.42;None;3
14;None;None;Sam Smelt;None;None;16;23'13.393;25.722;0.534;97.39;None;2
15;None;None;Крис Смайли;None;None;16;23'26.518;38.847;13.125;96.48;None;1
16;None;None;Рик Парфитт-мл.;None;None;16;23'27.735;40.064;1.217;96.40;None;None
17;None;None;Николас Хэмилтон;None;None;16;23'40.326;52.655;12.591;95.54;None;None
18;None;None;Адам Морган;None;None;16;23'43.010;55.339;2.684;95.36;None;None
19;None;None;Jack Butel;None;None;16;23'52.512;1'04.841;9.502;94.73;None;None
20;None;None;Джош Кук;None;None;15;22'53.765;1 Lap;1 Lap;92.60;None;1
21;None;None;Daniel Rowbottom;None;None;15;23'25.537;1 Lap;31.772;90.51;None;None
22;None;None;Том Ингрэм;None;None;15;23'28.273;1 Lap;2.736;90.34;None;None
23;None;None;Дэн Кэммиш;None;None;15;23'47.511;1 Lap;19.238;89.12;None;None
None;dnf;None;Carl Boardley;None;None;14;20'28.335;2 Laps;1 Lap;96.66;Сход;None
None;dnf;None;Рори Батчер;None;None;14;20'30.303;2 Laps;1.968;96.51;Сход;None
None;dnf;None;Айден Моффат;None;None;9;16'57.019;7 Laps;5 Laps;75.05;Сход;None
None;dnf;None;Jade Edwards;None;None;3;8'20.693;13 Laps;6 Laps;50.81;Сход;None
