Позиция;#;Гонщик;None;Машина;Время;км/ч
1;55;Час Мостер;None;Ford Falcon FG/X;1'20.3724;144.228
2;88;Джейми Уинкап;None;Holden Commodore VF;1'20.4552;144.080
3;33;Скотт Маклафлин;None;Volvo S60;1'20.4834;144.029
4;22;Джеймс Кортни;None;Holden Commodore VF;1'20.5612;143.890
5;97;Шейн ван Гисберген;None;Holden Commodore VF;1'20.6082;143.806
6;23;Майкл Карузо;None;Nissan Altima L33;1'20.6425;143.745
7;17;Скотт Пай;None;Ford Falcon FG/X;1'20.6754;143.686
8;8;Джейсон Брайт;None;Holden Commodore VF;1'20.8206;143.428
9;888;Крэг Лаундес;None;Holden Commodore VF;1'20.9113;143.267
10;1;Марк Винтерботтом;None;Ford Falcon FG/X;1'20.9135;143.264
11;19;Уилл Дэвисон;None;Holden Commodore VF;1'20.9318;143.231
12;6;Кэмерон Уотерс;None;Ford Falcon FG/X;1'20.9545;143.191
13;14;Тим Слейд;None;Holden Commodore VF;1'21.0690;142.989
14;15;Рик Келли;None;Nissan Altima L33;1'21.0699;142.987
15;18;Ли Холдсуорт;None;Holden Commodore VF;1'21.0770;142.975
16;21;Тим Бланкард;None;Holden Commodore VF;1'21.0795;142.970
17;12;Фабиан Култхард;None;Ford Falcon FG/X;1'21.1023;142.930
18;2;Гарт Тандер;None;Holden Commodore VF;1'21.1433;142.858
19;222;Ник Перкат;None;Holden Commodore VF;1'21.1507;142.845
20;7;Тодд Келли;None;Nissan Altima L33;1'21.1865;142.782
21;34;Джеймс Моффат;None;Volvo S60;1'21.3525;142.491
22;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'21.3553;142.486
23;111;Крис Питер;None;Ford Falcon FG/X;1'21.7035;141.878
24;3;Андре Хаймгартнер;None;Holden Commodore VF;1'21.7291;141.834
25;96;Дейл Вуд;None;Nissan Altima L33;1'21.8002;141.711
26;4;Аарен Рассел;None;Holden Commodore VF;1'22.0507;141.278
