Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Пай;None;Ford Falcon FG/X;1'20.0168;144.869
2;88;Джейми Уинкап;None;Holden Commodore VF;1'20.1094;144.702
3;33;Скотт Маклафлин;None;Volvo S60;1'20.1505;144.627
4;1;Марк Винтерботтом;None;Ford Falcon FG/X;1'20.1622;144.606
5;22;Джеймс Кортни;None;Holden Commodore VF;1'20.2364;144.473
6;97;Шейн ван Гисберген;None;Holden Commodore VF;1'20.2752;144.403
7;7;Тодд Келли;None;Nissan Altima L33;1'20.2839;144.387
8;15;Рик Келли;None;Nissan Altima L33;1'20.3933;144.191
9;2;Гарт Тандер;None;Holden Commodore VF;1'20.4067;144.167
10;19;Уилл Дэвисон;None;Holden Commodore VF;1'20.4089;144.163
11;888;Крэг Лаундес;None;Holden Commodore VF;1'20.4142;144.153
12;55;Час Мостер;None;Ford Falcon FG/X;1'20.4377;144.111
13;12;Фабиан Култхард;None;Ford Falcon FG/X;1'20.4661;144.060
14;23;Майкл Карузо;None;Nissan Altima L33;1'20.5147;143.973
15;6;Кэмерон Уотерс;None;Ford Falcon FG/X;1'20.5659;143.882
16;9;Дэвид Рейнольдс;None;Holden Commodore VF;1'20.5716;143.872
17;8;Джейсон Брайт;None;Holden Commodore VF;1'20.5879;143.842
18;14;Тим Слейд;None;Holden Commodore VF;1'20.6324;143.763
19;18;Ли Холдсуорт;None;Holden Commodore VF;1'20.6804;143.678
20;34;Джеймс Моффат;None;Volvo S60;1'20.8847;143.315
21;222;Ник Перкат;None;Holden Commodore VF;1'20.9523;143.195
22;111;Крис Питер;None;Ford Falcon FG/X;1'20.9544;143.191
23;96;Дейл Вуд;None;Nissan Altima L33;1'21.1744;142.803
24;3;Андре Хаймгартнер;None;Holden Commodore VF;1'21.3610;142.476
25;21;Тим Бланкард;None;Holden Commodore VF;1'21.4342;142.348
26;4;Аарен Рассел;None;Holden Commodore VF;1'21.5897;142.076
