Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;222;Ник Перкат;None;Holden Commodore VF;48;1:49'03.6598;None;None;None;150
2;None;23;Майкл Карузо;None;Nissan Altima L33;48;1:49'10.7692;7.1094;7.1094;None;138
3;None;2;Гарт Тандер;None;Holden Commodore VF;48;1:49'12.4237;8.7639;1.6545;None;114
4;None;6;Кэмерон Уотерс;None;Ford Falcon FG/X;48;1:49'14.9426;11.2828;2.5189;None;120
5;None;9;Дэвид Рейнольдс;None;Holden Commodore VF;48;1:49'16.5672;12.9074;1.6246;None;111
6;None;7;Тодд Келли;None;Nissan Altima L33;48;1:49'17.1815;13.5217;0.6143;None;102
7;None;15;Рик Келли;None;Nissan Altima L33;48;1:49'17.6468;13.9870;0.4653;None;96
8;None;8;Джейсон Брайт;None;Holden Commodore VF;48;1:49'18.8244;15.1646;1.1776;None;90
9;None;1;Марк Винтерботтом;None;Ford Falcon FG/X;48;1:49'20.0672;16.4074;1.2428;None;84
10;None;97;Шейн ван Гисберген;None;Holden Commodore VF;48;1:49'20.7524;17.0926;0.6852;None;78
11;None;21;Тим Бланкард;None;Holden Commodore VF;48;1:49'30.7966;27.1368;10.0442;None;72
12;None;33;Скотт Маклафлин;None;Volvo S60;48;1:49'30.9636;27.3038;0.1670;None;69
13;None;888;Крэг Лаундес;None;Holden Commodore VF;48;1:49'31.3109;27.6511;0.3473;None;66
14;None;88;Джейми Уинкап;None;Holden Commodore VF;48;1:49'48.4477;44.7879;17.1368;None;63
15;None;19;Уилл Дэвисон;None;Holden Commodore VF;48;1:50'03.2826;59.6228;14.8349;None;60
16;None;12;Фабиан Култхард;None;Ford Falcon FG/X;48;1:50'03.9014;1'00.2416;0.6188;None;57
17;None;17;Скотт Пай;None;Ford Falcon FG/X;48;1:50'10.1788;1'06.5190;6.2774;None;54
18;None;18;Ли Холдсуорт;None;Holden Commodore VF;48;1:50'12.2498;1'08.5900;2.0710;None;51
19;None;3;Андре Хаймгартнер;None;Holden Commodore VF;45;1:49'22.1215;3 Laps;3 Laps;None;48
20;None;14;Тим Слейд;None;Holden Commodore VF;43;1:50'33.4309;5 Laps;2 Laps;None;45
21;None;22;Джеймс Кортни;None;Holden Commodore VF;41;1:51'36.6060;7 Laps;2 Laps;None;42
22;None;34;Джеймс Моффат;None;Volvo S60;38;1:50'35.8774;10 Laps;3 Laps;None;39
None;None;96;Дейл Вуд;None;Nissan Altima L33;30;57'54.1538;18 Laps;8 Laps;Сход;None
None;None;55;Час Мостер;None;Ford Falcon FG/X;27;49'03.2602;21 Laps;3 Laps;Сход;None
None;None;4;Аарен Рассел;None;Holden Commodore VF;0;None;None;None;Сход;None
