Круги лидирования;Гонщик
1 - 10;Час Мостер
11 - 11;Скотт Маклафлин
12 - 14;Майкл Карузо
15 - 15;Уилл Дэвисон
16 - 16;Фабиан Култхард
17 - 20;Час Мостер
21 - 39;Джеймс Кортни
