Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Falcon FG X;83;1:24'39.3019;None;None;None;150
2;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;83;1:24'47.2822;7.9803;7.9803;None;138
3;None;888;Крэг Лаундес;None;Holden Commodore ZB;83;1:24'49.9494;10.6475;2.6672;None;129
4;None;25;Джеймс Кортни;None;Holden Commodore ZB;83;1:24'51.4630;12.1611;1.5136;None;120
5;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;83;1:24'56.9978;17.6959;5.5348;None;111
6;None;1;Джейми Уинкап;None;Holden Commodore ZB;83;1:24'58.0991;18.7972;1.1013;None;102
7;None;8;Ник Перкат;None;Holden Commodore ZB;83;1:24'59.2838;19.9819;1.1847;None;96
8;None;7;Андре Хаймгартнер;None;Nissan Altima;83;1:25'03.8599;24.5580;4.5761;None;90
9;None;19;Джек ЛеБрок;None;Holden Commodore ZB;83;1:25'04.2165;24.9146;0.3566;None;84
10;None;15;Рик Келли;None;Nissan Altima;83;1:25'07.5321;28.2302;3.3156;None;78
11;None;55;Час Мостер;None;Ford Falcon FG X;83;1:25'11.0736;31.7717;3.5415;None;72
12;None;78;Симона де Сильвестро;None;Nissan Altima;83;1:25'12.5316;33.2297;1.4580;None;69
13;None;6;Кэмерон Уотерс;None;Ford Falcon FG X;83;1:25'12.7690;33.4671;0.2374;None;66
14;None;33;Гарт Тандер;None;Holden Commodore ZB;83;1:25'13.2199;33.9180;0.4509;None;63
15;None;2;Скотт Пай;None;Holden Commodore ZB;83;1:25'21.1683;41.8664;7.9484;None;60
16;None;12;Фабиан Култхард;None;Ford Falcon FG X;83;1:25'21.5767;42.2748;0.4084;None;57
17;None;14;Тим Слейд;None;Holden Commodore ZB;83;1:25'24.3932;45.0913;2.8165;None;54
18;None;18;Ли Холдсуорт;None;Holden Commodore ZB;83;1:25'24.5758;45.2739;0.1826;None;51
19;None;56;Ричи Стэнэвей;None;Ford Falcon FG X;83;1:25'27.9000;48.5981;3.3242;None;48
20;None;400;Уилл Дэвисон;None;Ford Falcon FG X;83;1:25'33.2268;53.9249;5.3268;None;45
21;None;5;Марк Винтерботтом;None;Ford Falcon FG X;82;1:24'42.3635;1 Lap;1 Lap;None;42
22;None;35;Тодд Хазелвуд;None;Ford Falcon FG X;82;1:24'42.5556;1 Lap;0.1921;None;39
23;None;99;Антон де Паскуале;None;Holden Commodore ZB;82;1:25'28.1350;1 Lap;45.5794;None;36
24;None;21;Тим Бланкард;None;Holden Commodore ZB;81;1:25'35.7979;2 Laps;1 Lap;None;33
25;None;34;Джеймс Голдинг;None;Holden Commodore ZB;75;1:25'31.8469;8 Laps;6 Laps;None;30
26;None;23;Майкл Карузо;None;Nissan Altima;68;1:24'40.2884;15 Laps;7 Laps;None;27
