Позиция;#;Гонщик;None;Машина;Время;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore ZB;54.9054;158.672
2;1;Джейми Уинкап;None;Holden Commodore ZB;54.9326;158.594
3;55;Час Мостер;None;Ford Falcon FG X;54.9891;158.431
4;7;Андре Хаймгартнер;None;Nissan Altima;55.0927;158.133
5;15;Рик Келли;None;Nissan Altima;55.1397;157.998
6;9;Дэвид Рейнольдс;None;Holden Commodore ZB;55.2413;157.708
7;8;Ник Перкат;None;Holden Commodore ZB;55.3384;157.431
8;23;Майкл Карузо;None;Nissan Altima;55.3882;157.289
9;25;Джеймс Кортни;None;Holden Commodore ZB;55.5303;156.887
10;19;Джек ЛеБрок;None;Holden Commodore ZB;55.8620;155.955
11;21;Тим Бланкард;None;Holden Commodore ZB;55.4125;157.220
12;14;Тим Слейд;None;Holden Commodore ZB;55.4144;157.215
13;400;Уилл Дэвисон;None;Ford Falcon FG X;55.4461;157.125
14;56;Ричи Стэнэвей;None;Ford Falcon FG X;55.5885;156.723
15;2;Скотт Пай;None;Holden Commodore ZB;55.5897;156.719
16;34;Джеймс Голдинг;None;Holden Commodore ZB;55.7174;156.360
17;12;Фабиан Култхард;None;Ford Falcon FG X;55.5205;156.915
18;5;Марк Винтерботтом;None;Ford Falcon FG X;55.5337;156.877
19;17;Скотт Маклафлин;None;Ford Falcon FG X;55.5971;156.698
20;99;Антон де Паскуале;None;Holden Commodore ZB;55.6451;156.563
21;78;Симона де Сильвестро;None;Nissan Altima;55.6538;156.539
22;6;Кэмерон Уотерс;None;Ford Falcon FG X;55.6931;156.428
23;18;Ли Холдсуорт;None;Holden Commodore ZB;55.8243;156.061
24;35;Тодд Хазелвуд;None;Ford Falcon FG X;55.9971;155.579
25;888;Крэг Лаундес;None;Holden Commodore ZB;56.0007;155.569
26;33;Гарт Тандер;None;Holden Commodore ZB;56.0413;155.456
