Позиция;None;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч;Сход;Очки
1;None;None;Эшли Саттон;None;None;12;23'49.604;None;None;89.71;None;22
2;None;None;Колин Теркингтон;None;None;12;23'50.055;0.451;0.451;89.68;None;18
3;None;None;Олли Джексон;None;None;12;23'58.207;8.603;8.152;89.17;None;15
4;None;None;Том Ингрэм;None;None;12;23'58.373;8.769;0.166;89.16;None;13
5;None;None;Рори Батчер;None;None;12;24'00.128;10.524;1.755;89.05;None;11
6;None;None;Том Олифан;None;None;12;24'00.463;10.859;0.335;89.03;None;10
7;None;None;Стивен Джелли;None;None;12;24'01.669;12.065;1.206;88.96;None;9
8;None;None;Адам Морган;None;None;12;24'02.968;13.364;1.299;88.88;None;8
9;None;None;Джек Гофф;None;None;12;24'03.266;13.662;0.298;88.86;None;7
10;None;None;Айден Моффат;None;None;12;24'05.808;16.204;2.542;88.70;None;6
11;None;None;Гордон Шедден;None;None;12;24'06.181;16.577;0.373;88.68;None;5
12;None;None;Даниэль Ллойд;None;None;12;24'06.529;16.925;0.348;88.66;None;4
13;None;None;Крис Смайли;None;None;12;24'06.832;17.228;0.303;88.64;None;3
14;None;None;Джош Кук;None;None;12;24'08.209;18.605;1.377;88.56;None;2
15;None;None;Daniel Rowbottom;None;None;12;24'10.794;21.190;2.585;88.40;None;1
16;None;None;Сенна Проктор;None;None;12;24'11.899;22.295;1.105;88.33;None;None
17;None;None;Carl Boardley;None;None;12;24'12.138;22.534;0.239;88.32;None;None
18;None;None;Арон Смит;None;None;12;24'16.140;26.536;4.002;88.08;None;None
19;None;None;Sam Osborne;None;None;12;24'16.324;26.720;0.184;88.06;None;None
20;None;None;Джейсон Плейто;None;None;12;24'29.374;39.770;13.050;87.28;None;None
21;None;None;Джессика Хокинс;None;None;12;24'31.621;42.017;2.247;87.15;None;None
22;None;None;Jack Butel;None;None;12;24'32.138;42.534;0.517;87.12;None;None
23;None;None;Jade Edwards;None;None;12;24'32.338;42.734;0.200;87.11;None;None
24;None;None;Джейк Хилл;None;None;12;24'34.285;44.681;1.947;86.99;None;None
25;None;None;Николас Хэмилтон;None;None;12;24'37.021;47.417;2.736;86.83;None;None
26;None;None;Sam Smelt;None;None;12;24'38.033;48.429;1.012;86.77;None;None
27;None;None;Рик Парфитт-мл.;None;None;12;24'45.623;56.019;7.590;86.33;None;None
None;dnf;None;Том Чилтон;None;None;0;None;None;None;None;Сход;None
None;dnf;None;Глинн Джедди;None;None;0;None;None;None;None;Сход;None
