Позиция;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч
1;2;Колин Теркингтон;None;None;8;1'56.559;None;None;91.696
2;80;Том Ингрэм;None;None;7;1'56.721;0.162;0.162;91.569
3;52;Гордон Шедден;None;None;3;1'57.301;0.742;0.580;91.116
4;6;Рори Батчер;None;None;4;1'57.327;0.768;0.026;91.096
5;33;Адам Морган;None;None;2;1'57.329;0.770;0.002;91.095
6;12;Стивен Джелли;None;None;6;1'57.400;0.841;0.071;91.040
7;123;Даниэль Ллойд;None;None;6;1'57.636;1.077;0.236;90.857
8;15;Том Олифан;None;None;3;1'57.671;1.112;0.035;90.830
9;48;Олли Джексон;None;None;4;1'57.926;1.367;0.255;90.633
10;1;Эшли Саттон;None;None;4;1'58.030;1.471;0.104;90.554
11;24;Джейк Хилл;None;None;2;1'58.126;1.567;0.096;90.480
12;16;Айден Моффат;None;None;4;1'58.187;1.628;0.061;90.433
13;32;Daniel Rowbottom;None;None;5;1'58.221;1.662;0.034;90.407
14;22;Крис Смайли;None;None;5;1'58.224;1.665;0.003;90.405
15;31;Джек Гофф;None;None;5;1'58.237;1.678;0.013;90.395
16;4;Sam Osborne;None;None;3;1'58.253;1.694;0.016;90.383
17;3;Том Чилтон;None;None;5;1'58.283;1.724;0.030;90.360
18;66;Джош Кук;None;None;6;1'58.297;1.738;0.014;90.349
19;18;Сенна Проктор;None;None;3;1'58.514;1.955;0.217;90.184
20;62;Рик Парфитт-мл.;None;None;5;1'58.527;1.968;0.013;90.174
21;40;Арон Смит;None;None;7;1'58.576;2.017;0.049;90.137
22;41;Carl Boardley;None;None;4;1'58.640;2.081;0.064;90.088
23;11;Джейсон Плейто;None;None;3;1'58.655;2.096;0.015;90.077
24;88;Глинн Джедди;None;None;5;1'58.661;2.102;0.006;90.072
25;99;Jade Edwards;None;None;7;1'58.687;2.128;0.026;90.052
26;21;Джессика Хокинс;None;None;4;1'58.770;2.211;0.083;89.989
27;96;Jack Butel;None;None;6;1'58.778;2.219;0.008;89.983
28;23;Sam Smelt;None;None;7;1'58.995;2.436;0.217;89.819
29;28;Николас Хэмилтон;None;None;4;1'59.486;2.927;0.491;89.450
