Позиция;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч
1;52;Гордон Шедден;None;None;9;1'56.149;None;None;92.020
2;80;Том Ингрэм;None;None;11;1'56.558;0.409;0.409;91.697
3;31;Джек Гофф;None;None;14;1'56.584;0.435;0.026;91.677
4;1;Эшли Саттон;None;None;14;1'56.698;0.549;0.114;91.587
5;18;Сенна Проктор;None;None;16;1'56.818;0.669;0.120;91.493
6;24;Джейк Хилл;None;None;15;1'56.944;0.795;0.126;91.395
7;22;Крис Смайли;None;None;13;1'57.052;0.903;0.108;91.310
8;32;Daniel Rowbottom;None;None;13;1'57.197;1.048;0.145;91.197
9;66;Джош Кук;None;None;12;1'57.282;1.133;0.085;91.131
10;15;Том Олифан;None;None;13;1'57.403;1.254;0.121;91.037
11;123;Даниэль Ллойд;None;None;12;1'57.449;1.300;0.046;91.002
12;33;Адам Морган;None;None;13;1'57.450;1.301;0.001;91.001
13;6;Рори Батчер;None;None;13;1'57.457;1.308;0.007;90.995
14;40;Арон Смит;None;None;14;1'57.519;1.370;0.062;90.947
15;11;Джейсон Плейто;None;None;10;1'57.592;1.443;0.073;90.891
16;4;Sam Osborne;None;None;14;1'57.631;1.482;0.039;90.861
17;41;Carl Boardley;None;None;16;1'57.714;1.565;0.083;90.797
18;12;Стивен Джелли;None;None;14;1'57.747;1.598;0.033;90.771
19;16;Айден Моффат;None;None;16;1'57.761;1.612;0.014;90.760
20;23;Sam Smelt;None;None;16;1'57.797;1.648;0.036;90.733
21;2;Колин Теркингтон;None;None;11;1'57.814;1.665;0.017;90.720
22;99;Jade Edwards;None;None;15;1'57.835;1.686;0.021;90.703
23;3;Том Чилтон;None;None;13;1'57.937;1.788;0.102;90.625
24;48;Олли Джексон;None;None;14;1'58.017;1.868;0.080;90.564
25;88;Глинн Джедди;None;None;13;1'58.059;1.910;0.042;90.531
26;21;Джессика Хокинс;None;None;16;1'58.274;2.125;0.215;90.367
27;62;Рик Парфитт-мл.;None;None;14;1'58.430;2.281;0.156;90.248
28;96;Jack Butel;None;None;15;1'58.666;2.517;0.236;90.068
29;28;Николас Хэмилтон;None;None;12;1'58.843;2.694;0.177;89.934
