Позиция;None;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч;Сход;Очки
1;None;None;Том Ингрэм;None;None;12;23'56.024;None;None;89.31;None;21
2;None;None;Эшли Саттон;None;None;12;23'57.168;1.144;1.144;89.24;None;17
3;None;None;Гордон Шедден;None;None;12;23'57.641;1.617;0.473;89.21;None;16
4;None;None;Джош Кук;None;None;12;23'59.241;3.217;1.600;89.11;None;13
5;None;None;Стивен Джелли;None;None;12;24'02.780;6.756;3.539;88.89;None;12
6;None;None;Рори Батчер;None;None;12;24'03.493;7.469;0.713;88.85;None;10
7;None;None;Колин Теркингтон;None;None;12;24'03.792;7.768;0.299;88.83;None;9
8;None;None;Адам Морган;None;None;12;24'04.768;8.744;0.976;88.77;None;8
9;None;None;Джек Гофф;None;None;12;24'05.940;9.916;1.172;88.70;None;7
10;None;None;Daniel Rowbottom;None;None;12;24'06.379;10.355;0.439;88.67;None;6
11;None;None;Крис Смайли;None;None;12;24'07.317;11.293;0.938;88.61;None;5
12;None;None;Джейк Хилл;None;None;12;24'07.742;11.718;0.425;88.59;None;4
13;None;None;Даниэль Ллойд;None;None;12;24'08.427;12.403;0.685;88.54;None;3
14;None;None;Арон Смит;None;None;12;24'10.142;14.118;1.715;88.44;None;2
15;None;None;Jade Edwards;None;None;12;24'10.599;14.575;0.457;88.41;None;1
16;None;None;Том Олифан;None;None;12;24'11.286;15.262;0.687;88.37;None;None
17;None;None;Айден Моффат;None;None;12;24'12.026;16.002;0.740;88.32;None;None
18;None;None;Джейсон Плейто;None;None;12;24'13.144;17.120;1.118;88.26;None;None
19;None;None;Том Чилтон;None;None;12;24'14.679;18.655;1.535;88.16;None;None
20;None;None;Sam Osborne;None;None;12;24'16.017;19.993;1.338;88.08;None;None
21;None;None;Jack Butel;None;None;12;24'19.078;23.054;3.061;87.90;None;None
22;None;None;Глинн Джедди;None;None;12;24'23.374;27.350;4.296;87.64;None;None
23;None;None;Джессика Хокинс;None;None;12;24'23.763;27.739;0.389;87.62;None;None
24;None;None;Рик Парфитт-мл.;None;None;12;24'34.873;38.849;11.110;86.96;None;None
25;None;None;Николас Хэмилтон;None;None;12;24'44.765;48.741;9.892;86.38;None;None
26;None;None;Сенна Проктор;None;None;12;25'53.620;1'57.596;1'08.855;82.55;None;None
None;dnf;None;Sam Smelt;None;None;8;16'26.553;4 Laps;4 Laps;86.67;Сход;None
None;dnf;None;Олли Джексон;None;None;2;4'09.752;10 Laps;6 Laps;85.58;Сход;None
None;dnf;None;Carl Boardley;None;None;0;None;None;None;None;Сход;None
