Позиция;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч
1;1;Эшли Саттон;None;None;3;1'56.795;None;None;91.511
2;2;Колин Теркингтон;None;None;4;1'57.438;0.643;0.643;91.010
3;24;Джейк Хилл;None;None;4;1'57.452;0.657;0.014;90.999
4;15;Том Олифан;None;None;4;1'57.664;0.869;0.212;90.835
5;80;Том Ингрэм;None;None;4;1'57.674;0.879;0.010;90.828
6;48;Олли Джексон;None;None;3;1'57.713;0.918;0.039;90.797
7;31;Джек Гофф;None;None;6;1'57.823;1.028;0.110;90.713
8;33;Адам Морган;None;None;5;1'57.840;1.045;0.017;90.700
9;12;Стивен Джелли;None;None;3;1'57.863;1.068;0.023;90.682
10;6;Рори Батчер;None;None;3;1'57.919;1.124;0.056;90.639
11;16;Айден Моффат;None;None;5;1'57.999;1.204;0.080;90.577
12;22;Крис Смайли;None;None;6;1'58.354;1.559;0.355;90.306
13;123;Даниэль Ллойд;None;None;6;1'58.472;1.677;0.118;90.216
14;52;Гордон Шедден;None;None;8;1'58.595;1.800;0.123;90.122
15;32;Daniel Rowbottom;None;None;7;1'58.630;1.835;0.035;90.096
16;41;Carl Boardley;None;None;7;1'58.650;1.855;0.020;90.080
17;66;Джош Кук;None;None;6;1'58.692;1.897;0.042;90.049
18;18;Сенна Проктор;None;None;6;1'58.706;1.911;0.014;90.038
19;11;Джейсон Плейто;None;None;5;1'58.826;2.031;0.120;89.947
20;4;Sam Osborne;None;None;3;1'58.885;2.090;0.059;89.902
21;40;Арон Смит;None;None;4;1'59.144;2.349;0.259;89.707
22;96;Jack Butel;None;None;3;1'59.662;2.867;0.518;89.319
23;28;Николас Хэмилтон;None;None;3;1'59.762;2.967;0.100;89.244
24;99;Jade Edwards;None;None;5;1'59.765;2.970;0.003;89.242
25;21;Джессика Хокинс;None;None;2;1'59.879;3.084;0.114;89.157
26;23;Sam Smelt;None;None;3;1'59.957;3.162;0.078;89.099
27;62;Рик Парфитт-мл.;None;None;4;2'00.234;3.439;0.277;88.894
