Позиция;#;Гонщик;None;Команда;Время;Отрыв;км/ч;Очки
1;2;Колин Теркингтон;None;None;1'55.371;None;92.641;None
2;80;Том Ингрэм;None;None;1'55.700;0.329;92.377;None
3;6;Рори Батчер;None;None;1'56.012;0.641;92.129;None
4;12;Стивен Джелли;None;None;1'56.030;0.659;92.114;None
5;33;Адам Морган;None;None;1'56.156;0.785;92.015;None
6;48;Олли Джексон;None;None;1'56.262;0.891;91.931;None
7;24;Джейк Хилл;None;None;1'56.403;1.032;91.819;None
8;123;Даниэль Ллойд;None;None;1'56.492;1.121;91.749;None
9;15;Том Олифан;None;None;1'56.826;1.455;91.487;None
None;52;Гордон Шедден;None;None;None;None;None;None
