Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;25;Час Мостер;None;Holden Commodore ZB;20;37'15.6300;None;None;None;75
2;None;26;Дэвид Рейнольдс;None;Ford Mustang GT;20;37'23.3139;7.6839;7.6839;None;69
3;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;20;37'25.1032;9.4732;1.7893;None;64
4;None;3;Тим Слейд;None;Ford Mustang GT;20;37'26.7835;11.1535;1.6803;None;60
5;None;2;Ник Перкат;None;Holden Commodore ZB;20;37'28.6586;13.0286;1.8751;None;55
6;None;96;Маколи Джонс;None;Holden Commodore ZB;20;37'33.5787;17.9487;4.9201;None;51
7;None;18;Марк Винтерботтом;None;Holden Commodore ZB;20;37'33.8735;18.2435;0.2948;None;48
8;None;88;Broc Feeney;None;Holden Commodore ZB;20;37'40.3456;24.7156;6.4721;None;45
9;None;76;Гарри Джекобсон;None;Holden Commodore ZB;20;37'45.1064;29.4764;4.7608;None;42
10;None;14;Брайс Фуллвуд;None;Holden Commodore ZB;20;37'47.1381;31.5081;2.0317;None;39
11;None;20;Скотт Пай;None;Holden Commodore ZB;20;38'04.8296;49.1996;17.6915;None;36
12;None;4;Джек Смит;None;Holden Commodore ZB;20;38'11.1075;55.4775;6.2779;None;34
13;None;99;Brodie Kostecki;None;Holden Commodore ZB;20;38'17.1266;1'01.4966;6.0191;None;33
14;None;8;Андре Хаймгартнер;None;Holden Commodore ZB;20;38'20.2917;1'04.6617;3.1651;None;31
15;None;56;Джейк Костеки;None;Ford Mustang GT;20;38'21.1601;1'05.5301;0.8684;None;30
16;None;17;Уилл Дэвисон;None;Ford Mustang GT;20;38'21.5877;1'05.9577;0.4276;None;28
17;None;9;Уилл Браун;None;Holden Commodore ZB;20;38'28.3719;1'12.7419;6.7842;None;27
18;None;6;Кэмерон Уотерс;None;Ford Mustang GT;20;38'30.2845;1'14.6545;1.9126;None;25
19;None;35;Тодд Хазелвуд;None;Holden Commodore ZB;20;38'39.3622;1'23.7322;9.0777;None;24
20;None;5;Джеймс Кортни;None;Ford Mustang GT;20;38'40.3440;1'24.7140;0.9818;None;22
21;None;55;Томас Рэндл;None;Ford Mustang GT;20;38'41.6819;1'26.0519;1.3379;None;21
22;None;10;Ли Холдсуорт;None;Ford Mustang GT;20;38'54.4405;1'38.8105;12.7586;None;19
23;None;11;Антон де Паскуале;None;Ford Mustang GT;19;38'09.1642;1 Lap;1 Lap;None;18
24;None;22;Крис Питер;None;Holden Commodore ZB;16;37'38.5127;4 Laps;3 Laps;None;16
25;None;34;Джек ЛеБрок;None;Holden Commodore ZB;16;37'53.7766;4 Laps;15.2639;None;15
