Позиция;#;Гонщик;None;Машина;Время;км/ч
1;11;Антон де Паскуале;None;Ford Mustang GT;1'45.8031;180.437
2;17;Уилл Дэвисон;None;Ford Mustang GT;1'45.9328;180.216
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'46.3833;179.452
4;26;Дэвид Рейнольдс;None;Ford Mustang GT;1'46.6551;178.995
5;3;Тим Слейд;None;Ford Mustang GT;1'46.6768;178.959
6;5;Джеймс Кортни;None;Ford Mustang GT;1'46.7825;178.782
7;25;Час Мостер;None;Holden Commodore ZB;1'46.8026;178.748
8;88;Broc Feeney;None;Holden Commodore ZB;1'46.8074;178.740
9;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'46.8304;178.701
10;18;Марк Винтерботтом;None;Holden Commodore ZB;1'46.8599;178.652
11;6;Кэмерон Уотерс;None;Ford Mustang GT;1'46.9271;178.540
12;9;Уилл Браун;None;Holden Commodore ZB;1'47.0070;178.407
13;2;Ник Перкат;None;Holden Commodore ZB;1'47.0367;178.357
14;14;Брайс Фуллвуд;None;Holden Commodore ZB;1'47.0575;178.322
15;10;Ли Холдсуорт;None;Ford Mustang GT;1'47.0683;178.304
16;55;Томас Рэндл;None;Ford Mustang GT;1'47.0828;178.280
17;99;Brodie Kostecki;None;Holden Commodore ZB;1'47.1063;178.241
18;96;Маколи Джонс;None;Holden Commodore ZB;1'47.2702;177.969
19;20;Скотт Пай;None;Holden Commodore ZB;1'47.3529;177.832
20;56;Джейк Костеки;None;Ford Mustang GT;1'47.4235;177.715
21;8;Андре Хаймгартнер;None;Holden Commodore ZB;1'47.4650;177.646
22;34;Джек ЛеБрок;None;Holden Commodore ZB;1'47.4931;177.600
23;22;Крис Питер;None;Holden Commodore ZB;1'47.5437;177.516
24;76;Гарри Джекобсон;None;Holden Commodore ZB;1'47.8329;177.040
25;4;Джек Смит;None;Holden Commodore ZB;1'48.1849;176.464
