Позиция;#;Гонщик;None;Машина;Время;км/ч
1;26;Дэвид Рейнольдс;None;Ford Mustang GT;1'45.6781;180.650
2;11;Антон де Паскуале;None;Ford Mustang GT;1'45.7037;180.606
3;25;Час Мостер;None;Holden Commodore ZB;1'45.8938;180.282
4;17;Уилл Дэвисон;None;Ford Mustang GT;1'46.1310;179.879
5;10;Ли Холдсуорт;None;Ford Mustang GT;1'46.1500;179.847
6;2;Ник Перкат;None;Holden Commodore ZB;1'46.2991;179.595
7;6;Кэмерон Уотерс;None;Ford Mustang GT;1'46.3145;179.569
8;96;Маколи Джонс;None;Holden Commodore ZB;1'46.3790;179.460
9;55;Томас Рэндл;None;Ford Mustang GT;1'46.3884;179.444
10;5;Джеймс Кортни;None;Ford Mustang GT;1'46.5233;179.217
11;18;Марк Винтерботтом;None;Holden Commodore ZB;1'46.5553;179.163
12;3;Тим Слейд;None;Ford Mustang GT;1'46.6186;179.056
13;99;Brodie Kostecki;None;Holden Commodore ZB;1'46.6335;179.031
14;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'46.6606;178.986
15;76;Гарри Джекобсон;None;Holden Commodore ZB;1'46.6709;178.969
16;9;Уилл Браун;None;Holden Commodore ZB;1'46.6750;178.962
17;88;Broc Feeney;None;Holden Commodore ZB;1'46.7187;178.888
18;8;Андре Хаймгартнер;None;Holden Commodore ZB;1'46.7938;178.763
19;14;Брайс Фуллвуд;None;Holden Commodore ZB;1'46.8297;178.703
20;4;Джек Смит;None;Holden Commodore ZB;1'47.0125;178.397
21;22;Крис Питер;None;Holden Commodore ZB;1'47.0849;178.277
22;34;Джек ЛеБрок;None;Holden Commodore ZB;1'47.6363;177.363
23;20;Скотт Пай;None;Holden Commodore ZB;1'57.9358;161.874
24;97;Шейн ван Гисберген;None;Holden Commodore ZB;None;None
25;56;Джейк Костеки;None;Ford Mustang GT;None;None
