Позиция;#;Гонщик;None;Команда;Круги;Время;Отрыв;Отставание;км/ч
1;52;Гордон Шедден;None;None;28;48.850;None;None;89.016
2;15;Том Олифан;None;None;26;48.869;0.019;0.019;88.982
3;32;Daniel Rowbottom;None;None;27;48.873;0.023;0.004;88.974
4;80;Том Ингрэм;None;None;29;48.987;0.137;0.114;88.767
5;1;Эшли Саттон;None;None;32;49.019;0.169;0.032;88.709
6;40;Арон Смит;None;None;32;49.024;0.174;0.005;88.700
7;2;Колин Теркингтон;None;None;31;49.043;0.193;0.019;88.666
8;66;Джош Кук;None;None;25;49.059;0.209;0.016;88.637
9;24;Джейк Хилл;None;None;29;49.081;0.231;0.022;88.597
10;11;Джейсон Плейто;None;None;26;49.094;0.244;0.013;88.574
11;31;Джек Гофф;None;None;24;49.100;0.250;0.006;88.563
12;22;Крис Смайли;None;None;32;49.116;0.266;0.016;88.534
13;123;Даниэль Ллойд;None;None;25;49.156;0.306;0.040;88.462
14;18;Сенна Проктор;None;None;26;49.168;0.318;0.012;88.440
15;3;Том Чилтон;None;None;29;49.179;0.329;0.011;88.421
16;12;Стивен Джелли;None;None;28;49.266;0.416;0.087;88.265
17;6;Рори Батчер;None;None;25;49.285;0.435;0.019;88.230
18;33;Адам Морган;None;None;27;49.316;0.466;0.031;88.175
19;16;Айден Моффат;None;None;30;49.369;0.519;0.053;88.080
20;41;Carl Boardley;None;None;33;49.434;0.584;0.065;87.965
21;23;Sam Smelt;None;None;21;49.460;0.610;0.026;87.918
22;88;Глинн Джедди;None;None;21;49.472;0.622;0.012;87.897
23;4;Sam Osborne;None;None;30;49.486;0.636;0.014;87.872
24;48;Олли Джексон;None;None;29;49.498;0.648;0.012;87.851
25;99;Jade Edwards;None;None;36;49.618;0.768;0.120;87.638
26;28;Николас Хэмилтон;None;None;29;49.639;0.789;0.021;87.601
27;62;Рик Парфитт-мл.;None;None;28;49.790;0.940;0.151;87.336
28;96;Jack Butel;None;None;33;49.840;0.990;0.050;87.248
29;44;Энди Нити;None;None;30;49.912;1.062;0.072;87.122
