Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Mustang GT;70;1:17'38.7924;None;None;None;150
2;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;70;1:17'40.6900;1.8976;1.8976;None;138
3;None;55;Час Мостер;None;Ford Mustang GT;70;1:17'44.8357;6.0433;4.1457;None;129
4;None;8;Ник Перкат;None;Holden Commodore ZB;70;1:17'45.3585;6.5661;0.5228;None;120
5;None;35;Тодд Хазелвуд;None;Holden Commodore ZB;70;1:18'10.4468;31.6544;25.0883;None;111
6;None;2;Скотт Пай;None;Holden Commodore ZB;70;1:18'22.5438;43.7514;12.0970;None;102
7;None;78;Симона де Сильвестро;None;Nissan Altima;70;1:18'23.7247;44.9323;1.1809;None;96
8;None;18;Марк Винтерботтом;None;Holden Commodore ZB;70;1:18'26.1574;47.3650;2.4327;None;90
9;None;33;Ричи Стэнэвей;None;Holden Commodore ZB;70;1:18'28.9282;50.1358;2.7708;None;84
10;None;34;Джеймс Голдинг;None;Holden Commodore ZB;70;1:18'29.7440;50.9516;0.8158;None;78
11;None;15;Рик Келли;None;Nissan Altima;70;1:18'31.8663;53.0739;2.1223;None;72
12;None;12;Фабиан Култхард;None;Ford Mustang GT;70;1:18'32.1980;53.4056;0.3317;None;69
13;None;23;Уилл Дэвисон;None;Ford Mustang GT;70;1:18'32.6561;53.8637;0.4581;None;66
14;None;6;Кэмерон Уотерс;None;Ford Mustang GT;70;1:18'32.9521;54.1597;0.2960;None;63
15;None;5;Ли Холдсуорт;None;Ford Mustang GT;70;1:18'34.3958;55.6034;1.4437;None;60
16;None;88;Джейми Уинкап;None;Holden Commodore ZB;70;1:18'34.7611;55.9687;0.3653;None;57
17;None;22;Джеймс Кортни;None;Holden Commodore ZB;70;1:18'36.9699;58.1775;2.2088;None;54
18;None;14;Тим Слейд;None;Holden Commodore ZB;70;1:18'37.5250;58.7326;0.5551;None;51
19;None;7;Андре Хаймгартнер;None;Nissan Altima;70;1:18'40.3671;1'01.5747;2.8421;None;48
20;None;99;Антон де Паскуале;None;Holden Commodore ZB;69;1:18'36.0600;1 Lap;1 Lap;None;45
21;None;3;Гарри Джекобсон;None;Nissan Altima;69;1:18'37.8864;1 Lap;1.8264;None;42
22;None;21;Маколи Джонс;None;Holden Commodore ZB;68;1:17'43.9032;2 Laps;1 Lap;None;39
23;None;19;Джек ЛеБрок;None;Holden Commodore ZB;68;1:17'50.0587;2 Laps;6.1555;None;36
24;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;54;1:17'47.5005;16 Laps;14 Laps;None;33
