Позиция;#;Гонщик;None;Машина;Время;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'01.5480;170.208
2;6;Кэмерон Уотерс;None;Ford Mustang GT;1'01.6986;169.793
3;23;Уилл Дэвисон;None;Ford Mustang GT;1'01.7513;169.648
4;55;Час Мостер;None;Ford Mustang GT;1'01.7804;169.568
5;12;Фабиан Култхард;None;Ford Mustang GT;1'01.8018;169.509
6;17;Скотт Маклафлин;None;Ford Mustang GT;1'01.8461;169.388
7;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'01.9151;169.199
8;5;Ли Холдсуорт;None;Ford Mustang GT;1'01.9338;169.148
9;99;Антон де Паскуале;None;Holden Commodore ZB;1'02.0444;168.846
10;8;Ник Перкат;None;Holden Commodore ZB;1'02.0786;168.753
11;2;Скотт Пай;None;Holden Commodore ZB;1'02.1043;168.683
12;88;Джейми Уинкап;None;Holden Commodore ZB;1'02.1251;168.627
13;14;Тим Слейд;None;Holden Commodore ZB;1'02.1477;168.566
14;33;Ричи Стэнэвей;None;Holden Commodore ZB;1'02.1694;168.507
15;18;Марк Винтерботтом;None;Holden Commodore ZB;1'02.1829;168.470
16;7;Андре Хаймгартнер;None;Nissan Altima;1'02.2470;168.297
17;3;Гарри Джекобсон;None;Nissan Altima;1'02.2680;168.240
18;34;Джеймс Голдинг;None;Holden Commodore ZB;1'02.2712;168.231
19;22;Джеймс Кортни;None;Holden Commodore ZB;1'02.3129;168.119
20;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'02.3532;168.010
21;21;Маколи Джонс;None;Holden Commodore ZB;1'02.3648;167.979
22;15;Рик Келли;None;Nissan Altima;1'02.4633;167.714
23;78;Симона де Сильвестро;None;Nissan Altima;1'02.6325;167.261
24;19;Джек ЛеБрок;None;Holden Commodore ZB;1'03.1087;165.999
