Позиция;#;Гонщик;None;Машина;Время;км/ч
1;88;Джейми Уинкап;None;Holden Commodore ZB;1'01.6666;169.881
2;5;Ли Холдсуорт;None;Ford Mustang GT;1'01.8651;169.336
3;6;Кэмерон Уотерс;None;Ford Mustang GT;1'01.8781;169.300
4;12;Фабиан Култхард;None;Ford Mustang GT;1'01.8964;169.250
5;17;Скотт Маклафлин;None;Ford Mustang GT;1'01.9165;169.195
6;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'01.9809;169.019
7;55;Час Мостер;None;Ford Mustang GT;1'02.0236;168.903
8;23;Уилл Дэвисон;None;Ford Mustang GT;1'02.1325;168.607
9;18;Марк Винтерботтом;None;Holden Commodore ZB;1'02.3685;167.969
10;8;Ник Перкат;None;Holden Commodore ZB;1'02.1815;168.474
11;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'01.9210;169.183
12;14;Тим Слейд;None;Holden Commodore ZB;1'01.9465;169.113
13;7;Андре Хаймгартнер;None;Nissan Altima;1'01.9697;169.050
14;99;Антон де Паскуале;None;Holden Commodore ZB;1'02.0407;168.856
15;34;Джеймс Голдинг;None;Holden Commodore ZB;1'02.0437;168.848
16;33;Ричи Стэнэвей;None;Holden Commodore ZB;1'02.0747;168.764
17;2;Скотт Пай;None;Holden Commodore ZB;1'02.1329;168.606
18;22;Джеймс Кортни;None;Holden Commodore ZB;1'02.2171;168.378
19;21;Маколи Джонс;None;Holden Commodore ZB;1'02.3003;168.153
20;15;Рик Келли;None;Nissan Altima;1'02.3484;168.023
21;78;Симона де Сильвестро;None;Nissan Altima;1'02.4197;167.831
22;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'02.4999;167.616
23;3;Гарри Джекобсон;None;Nissan Altima;1'02.5196;167.563
24;19;Джек ЛеБрок;None;Holden Commodore ZB;1'02.6650;167.174
